Filename,ID,Date,Sampling,Tree,Tissue,Clean,Note,Dev.keyword
P825_101,P13,June-20-2011,3,I2,Phloem,yes,,
P825_102,P14,June-20-2011,3,M2,Phloem,yes,,
P825_103,P15,June-20-2011,3,O2,Phloem,yes,,
P825_104,P16,June-27-2011,4,J2,Phloem,yes,,
P825_105,P17,June-27-2011,4,K2,Phloem,yes,,
P825_106,P18,June-27-2011,4,L2,Phloem,yes,,
P825_107,P19,July-4-2011,5,M,Phloem,yes,,
P825_108,P20,July-4-2011,5,N,Phloem,yes,,
P825_109,P21,July-4-2011,5,O2,Phloem,yes,,
P825_110,P22,July-11-2011,6,C,Phloem,yes,,
P825_111,P23,July-11-2011,6,D,Phloem,yes,,
P825_112,P24,July-11-2011,6,P,Phloem,yes,,
P825_113,P25,July-18-2011,7,C2,Phloem,yes,,
P825_114,P26,July-18-2011,7,G2,Phloem,yes,,
P825_115,P27,July-18-2011,7,H2,Phloem,yes,,
P825_116,P28,July-25-2011,8,D2,Phloem,yes,,
P825_117,P29,July-25-2011,8,E2,Phloem,yes,,
P825_118,P30,July-25-2011,8,F2,Phloem,yes,,
P825_119,P31,August-1-2011,9,I,Phloem,yes,,
P825_120,P32,August-1-2011,9,Z,Phloem,yes,,
P825_121,P33,August-1-2011,9,F,Phloem,yes,,
P825_122,P34,August-8-2011,10,G,Phloem,yes,,
P825_123,P35,August-8-2011,10,S,Phloem,yes,,
P825_124,P36,August-8-2011,10,U,Phloem,yes,,
P825_125,P37,August-22-2011,11,V,Phloem,yes,,
P825_126,P38,August-22-2011,11,W,Phloem,yes,,
P825_127,P39,August-22-2011,11,X,Phloem,yes,,
P825_128,P40,September-6-2011,12,A2,Phloem,yes,,
P825_129,P41,September-6-2011,12,B2,Phloem,yes,,
P825_130,P42,September-6-2011,12,Y,Phloem,yes,,
P825_131,P43,September-20-2011,13,J,Phloem,yes,,
P825_132,P44,September-20-2011,13,K,Phloem,yes,,
P825_133,P45,September-20-2011,13,Q,Phloem,yes,,
P825_134,P46,October-17-2011,14,L,Phloem,yes,,
P825_135,P47,October-17-2011,14,M2,Phloem,yes,,
P825_136,P48,October-17-2011,14,O2,Phloem,yes,,
P825_137,P49,November-16-2011,15,I2,Phloem,yes,,
P825_138,P50,November-16-2011,15,J2,Phloem,no,Phloem may have xylem (small effect).,
P825_139,P51,November-16-2011,15,K2,Phloem,no,Phloem may have xylem (small effect).,
P825_140,P52,December-14-2011,16,L2,Phloem,no,Phloem may have xylem (small effect).,
P825_141,P53,December-14-2011,16,M,Phloem,no,Phloem may have xylem (small effect).,
P825_142,P54,December-14-2011,16,N,Phloem,no,Phloem may have xylem (small effect).,
P825_143,P55,January-23-2012,17,O,Phloem,no,Phloem may have xylem (small effect).,
P825_144,P56,January-23-2012,17,C,Phloem,no,Phloem may have xylem (small effect).,
P825_145,P57,January-23-2012,17,D,Phloem,no,Phloem may have xylem (small effect).,
