ID	6.1_2.57.1	6.1_2.57.2	6.1_2.57.3	6.5_2.76.1_MERGED	6.5_2.76.2_MERGED	6.5_2.76.3_MERGED	6.6_2.05.1_MERGED	6.6_2.05.2_MERGED	6.6_2.42.4_MERGED	6.6_2.42.5_MERGED	6.6_2.42.6_MERGED	6.6_2.24.1_MERGED	6.6_2.24.2_MERGED	6.6_2.24.3_MERGED	6.6_2.14.1_MERGED	6.6_2.14.2_MERGED	6.6_2.14.3_MERGED	6.6_2.29.1_MERGED	6.6_2.28.1_MERGED	6.6_2.32.1_MERGED	6.6_2.30.1_MERGED	6.6_2.33.1_MERGED	6.6_2.31.1_MERGED	6.6_2.27.1_MERGED	6.6_2.27.2_MERGED	6.6_2.27.3_MERGED	6.6_2.52.1_MERGED	6.6_2.52.2_MERGED	6.6_2.52.3_MERGED	6.6_2.03.1_MERGED	6.6_2.03.2_MERGED	6.6_2.03.3_MERGED	6.6_2.16.1_MERGED	6.6_2.16.2_MERGED	6.6_2.16.3_MERGED	6.6_2.45.1_MERGED	6.6_2.45.2_MERGED	6.6_2.45.3_MERGED	6.6_2.15.1_MERGED	6.6_2.15.2_MERGED	6.6_2.15.3_MERGED	6.6_2.40.1_MERGED	6.6_2.40.2_MERGED	6.6_2.40.3_MERGED	6.6_2.47.1_MERGED	6.6_2.47.2_MERGED	6.6_2.47.3_MERGED
1	29	27	43	0	1	0	2	2	0	2	0	8	0	0	8	0	0	2	2	0	2	0	1	14	12	2	3	0	1	0	2	1	23	4	1	25	3	4	19	0	19	0	28	0	0	0	4
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	8	3	16	0	0	0
3	0	0	0	0	2	1	0	1	0	1	1	44	0	1	0	0	0	0	1	0	3	14	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	2	51	15	94	102	133
4	20	41	32	34	15	12	3	3	5	0	2	0	3	13	3	1	0	4	0	4	8	19	3	6	18	18	3	26	17	1	0	0	71	12	13	170	28	2	18	2	117	2	70	1	6	7	11
5	0	0	0	2	4	0	1	0	2	3	1	79	5	0	6	9	1	5	2	7	5	123	2	8	7	11	0	0	0	0	0	0	5	26	2	4	16	3	13	2	13	5	230	18	195	200	259
6	0	0	0	0	1	0	0	0	0	0	0	7	12	0	5	14	2	18	6	14	11	14	1	27	10	1	0	0	0	0	1	0	17	29	8	0	32	5	9	5	67	30	27	128	39	49	43
7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	50	0	14	6	5
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	22	0	16	0	3	0	0	0	0	4	0	0	0	1	1	0	0	97	2	0	0	0	0	0
9	0	0	0	0	1	0	0	1	3	0	1	1	0	0	2	0	0	1	0	0	8	1	0	3	7	7	5	1	0	0	0	0	25	10	3	18	9	3	118	2	14	1	32	4	5	4	10
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	1	0	0	0	0	8	1	6	0	2	0	0	0	0
11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	23	0	51	0	8	0	4	17	6	0	0	0	0	0	0	2	0	4	0	0	0	15	7	28	4	12	3	25	11	25
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	1	1	0	0	18	9	0	0	0	0	4	0	1	0	1	6	0	0	2	0	0	0	0	0	0	0	0
13	0	0	0	1	0	1	0	0	1	0	0	4	0	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	1	26	3	11	20	19
14	0	0	0	0	1	1	1	0	0	1	3	7	1	1	0	1	1	0	0	0	0	12	0	2	2	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	5	5	5	2	39	36	77
15	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	10	1	4	16	17
16	117	111	213	6	3	1	50	29	20	6	55	14	7	2	200	228	8	106	0	359	19	103	22	104	197	139	53	20	58	6	18	6	215	38	86	67	76	24	276	27	182	80	284	131	83	102	167
17	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	5	0	0	0	0	1	9	0	0	0	0	0	1	5	0	2	0	0	0	2	6	11	13	15	29	12
18	5	12	4	0	0	1	0	2	0	0	7	0	0	1	2	1	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	3	0	2	0	1
19	0	0	0	0	0	0	0	1	1	1	0	4	1	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	2	8	6	14
20	0	1	0	0	0	0	0	0	4	0	11	0	0	1	0	4	0	0	0	0	0	0	0	9	11	18	0	17	0	0	0	0	13	11	7	20	2	0	36	0	12	3	22	1	0	1	7
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	2
22	0	0	0	1	0	0	1	0	3	1	0	14	4	2	1	3	0	0	0	0	0	97	0	0	0	1	0	0	0	0	0	0	2	2	0	0	14	0	11	0	8	2	200	11	41	43	78
23	0	0	0	0	0	0	0	0	15	5	0	20	0	0	0	0	0	0	0	2	1	2	0	0	1	0	0	0	0	0	0	0	7	3	0	4	4	0	15	1	1	1	26	5	25	16	15
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	12	3	6	14	15
25	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	5	0	13	2	0	0	56	43	37	101	7	21	16
26	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	19	15
27	0	0	0	0	0	0	0	0	9	0	0	1	1	0	5	1	0	4	4	3	7	0	4	10	6	4	0	0	0	0	0	0	35	9	4	15	0	5	35	0	14	0	14	0	0	4	2
28	0	0	0	1	56	115	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	4	3	7
29	0	2	0	0	0	0	0	0	38	8	5	0	0	2	0	0	0	1	3	1	4	1	2	18	10	7	2	24	13	0	0	0	56	7	10	36	16	12	125	1	21	4	65	5	1	0	10
30	0	0	0	0	0	0	1	0	0	1	5	0	0	0	0	0	0	2	0	12	1	0	1	1	4	0	0	1	0	0	0	0	1	0	0	0	0	0	3	6	0	3	19	44	1	0	0
31	0	0	0	0	0	0	0	0	1	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	2	1	2	1	0	0	1	28	139	160	3	6	2
32	0	0	0	0	0	0	0	2	0	0	0	66	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	15	9
33	0	0	0	0	9	27	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	5	0
34	87	207	95	24	34	25	1	0	1	1	1	106	158	90	0	1	0	1	55	0	24	0	1	0	0	1	78	86	116	21	6	7	2	2	1	14	41	47	15	8	7	13	32	30	20	10	10
35	0	0	0	0	1	3	0	2	1	1	0	79	9	4	12	10	2	6	8	8	34	114	1	18	11	6	0	0	0	0	0	0	8	17	3	4	13	9	9	0	24	6	272	23	204	167	217
36	1	0	0	1	0	0	0	1	1	1	5	0	2	2	2	0	0	1	1	3	4	11	0	8	4	4	5	22	0	0	3	1	5	9	5	3	5	0	8	111	20	11	8	6	7	3	3
37	0	0	3	0	0	0	0	0	17	2	5	1	0	0	0	0	0	1	0	0	7	0	0	0	5	6	0	0	0	0	0	0	117	8	6	61	50	10	55	1	33	6	128	1	2	0	4
38	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	5	5
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	1	0	0	0	0	7	5	1	18	1	1	18	0	4	3	13	0	0	0	0
40	0	0	0	0	0	0	0	0	6	0	1	2	1	0	0	0	0	0	0	0	1	3	0	0	6	1	0	0	10	0	0	0	95	4	2	97	16	1	42	3	19	5	80	1	10	5	13
41	0	0	0	1	5	1	1	6	0	3	0	143	1	1	0	0	3	0	3	0	10	42	0	0	0	0	0	0	0	0	0	0	1	2	4	1	19	0	1	0	23	8	73	44	126	174	191
42	6	8	10	0	0	3	0	1	1	0	0	0	0	0	3	2	0	1	0	0	14	10	0	3	7	5	1	0	4	0	0	0	2	1	3	2	1	2	3	4	1	0	3	1	0	0	2
43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	14	9	12
44	0	0	0	0	0	0	1	0	0	0	1	5	0	1	1	4	0	4	3	5	2	4	2	8	4	1	4	5	4	0	2	1	763	19	23	187	114	23	64	11	34	15	462	16	13	4	31
45	0	0	0	0	0	1	0	2	4	0	0	20	0	0	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	25	4	26	33	37
46	5	0	0	0	0	0	0	2	0	0	2	0	0	0	12	23	2	0	0	0	0	0	0	7	13	2	0	0	0	5	0	0	3	0	0	1	0	1	3	0	0	0	1	0	0	0	1
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	14	13	11
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	2	0	0	1	0	7	4	0	0	4	2	3	5	7
49	0	2	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	2	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	12	11	14	13	17	12
