"ID_files"	"Sort_ID"	"Original_Samples"	"TechnRep"	"Sterilized"	"Description"	"tissue.type"	"age.class.needles"	"genotype"	"Z4006.individual"	"location"	"month"	"year"	"DeML_Reads_Sum"	"Trim_Reads_Sum"	"MC_Proportion"	"Reads_Remaining"	"InvSimpson"	"Description_ID"
"6.1_2.57.1"	"A.Bd.U2.II.N.0814.1"	"6.1_2.57.1"	1	"No"	"201 buds 8.14"	"buds"	""	"SwASP 201"	NA	"Umea"	"August"	2014	152375	146264	0.943507687223305	8263	19.8365391816718	"201_buds_Aug"
"6.1_2.57.2"	"A.Bd.U2.II.N.0814.2"	"6.1_2.57.2"	1	"No"	"201 buds 8.14"	"buds"	""	"SwASP 201"	NA	"Umea"	"August"	2014	239236	229305	0.916357335116021	19180	16.9533914716954	"201_buds_Aug"
"6.1_2.57.3"	"A.Bd.U2.II.N.0814.3"	"6.1_2.57.3"	1	"No"	"201 buds 8.14"	"buds"	""	"SwASP 201"	NA	"Umea"	"August"	2014	209142	200714	0.953263331274449	9381	21.5587532319428	"201_buds_Aug"
"6.5_2.76.1_MERGED"	"A.Bd.U2.N.0614.1"	"6.1_2.76.1& 6.5_2.76.1"	2	"No"	"Umea 201 buds 6.14"	"buds"	""	"SwASP 201"	NA	"Umea"	"June"	2014	338215	286602	0.973504291784299	7594	5.85761144740997	"201_buds_Jun"
"6.5_2.76.2_MERGED"	"A.Bd.U2.N.0614.2"	"6.1_2.76.2& 6.5_2.76.2"	2	"No"	"Umea 201 buds 6.14"	"buds"	""	"SwASP 201"	NA	"Umea"	"June"	2014	362484	339196	0.757740385511913	82173	4.41467075938931	"201_buds_Jun"
"6.5_2.76.3_MERGED"	"A.Bd.U2.N.0614.3"	"6.1_2.76.3& 6.5_2.76.3"	2	"No"	"Umea 201 buds 6.14"	"buds"	""	"SwASP 201"	NA	"Umea"	"June"	2014	466655	420130	0.636579964966784	152684	4.36529015500546	"201_buds_Jun"
"6.6_2.05.1_MERGED"	"A.Bd.U2.Y.0814.1"	"1.1_2.05.1& 6.5_2.05.1& 6.6_2.05.1"	3	"Yes"	"201 buds 8. 14"	"buds"	""	"SwASP 201"	NA	"Umea"	"August"	2014	359464	315251	0.922451726978641	24447	1.51344304428889	"201_Umea_buds_Aug_ster"
"6.6_2.05.2_MERGED"	"A.Bd.U2.Y.0814.2"	"1.1_2.05.2& 6.5_2.05.2& 6.6_2.05.2"	3	"Yes"	"201 buds 8. 14"	"buds"	""	"SwASP 201"	NA	"Umea"	"August"	2014	352316	330576	0.99050594201944	3139	13.0794509769102	"201_Umea_buds_Aug_ster"
"6.6_2.42.4_MERGED"	"A.Br.Vn.N.0714.1"	"6.1_2.42.1& 6.6_2.42.1& 6.6_2.42.4"	3	"No"	"Vindeln bark"	"bark"	""	"SwASP"	NA	"Vindeln"	"July"	2014	277343	222103	0.66596125671496	74191	4.25740880907794	"Vindeln_bark_Jul"
"6.6_2.42.5_MERGED"	"A.Br.Vn.N.0714.2"	"6.1_2.42.2& 6.6_2.42.2& 6.6_2.42.5"	3	"No"	"Vindeln bark"	"bark"	""	"SwASP"	NA	"Vindeln"	"July"	2014	28964	21254	0.874837451235371	2660	16.5254347451651	"Vindeln_bark_Jul"
"6.6_2.42.6_MERGED"	"A.Br.Vn.N.0714.3"	"6.1_2.42.3& 6.6_2.42.3& 6.6_2.42.6"	3	"No"	"Vindeln bark"	"bark"	""	"SwASP"	NA	"Vindeln"	"July"	2014	325905	281213	0.969015312693024	8713	17.0473871370544	"Vindeln_bark_Jul"
"6.6_2.24.1_MERGED"	"A.Lv.Vn.N.0714.1"	"1.1_2.24.1& 6.1_2.51.1& 6.6_2.24.1"	3	"No"	"Vindeln mature leaves"	"leaves"	""	"SwASP"	NA	"Vindeln"	"July"	2014	659030	559809	0.945566858350869	30472	23.5811986676592	"Vindeln_leaves_Jul"
"6.6_2.24.2_MERGED"	"A.Lv.Vn.N.0714.2"	"1.1_2.24.2& 6.1_2.51.2& 6.6_2.24.2"	3	"No"	"Vindeln mature leaves"	"leaves"	""	"SwASP"	NA	"Vindeln"	"July"	2014	351026	261948	0.908556191671241	23954	9.92870671986322	"Vindeln_leaves_Jul"
"6.6_2.24.3_MERGED"	"A.Lv.Vn.N.0714.3"	"1.1_2.24.3& 6.1_2.51.3& 6.6_2.24.3"	3	"No"	"Vindeln mature leaves"	"leaves"	""	"SwASP"	NA	"Vindeln"	"July"	2014	263980	246609	0.942087696608119	14282	14.66763042777	"Vindeln_leaves_Jul"
"6.6_2.14.1_MERGED"	"A.Sk.Vn.N.0714.1"	"1.1_2.14.1& 6.5_2.14.1& 6.6_2.14.1"	3	"No"	"Vindeln suckers"	"suckers"	""	"SwASP"	NA	"Vindeln"	"July"	2014	380453	286925	0.984921516275626	4326	39.0660781912925	"Vindeln_suckers_Jul"
"6.6_2.14.2_MERGED"	"A.Sk.Vn.N.0714.2"	"1.1_2.14.2& 6.5_2.14.2& 6.6_2.14.2"	3	"No"	"Vindeln suckers"	"suckers"	""	"SwASP"	NA	"Vindeln"	"July"	2014	303413	244563	0.977280931984272	5556	44.5044857029044	"Vindeln_suckers_Jul"
"6.6_2.14.3_MERGED"	"A.Sk.Vn.N.0714.3"	"1.1_2.14.3& 6.5_2.14.3& 6.6_2.14.3"	3	"No"	"Vindeln suckers"	"suckers"	""	"SwASP"	NA	"Vindeln"	"July"	2014	81573	34529	0.964169507282306	1237	11.0471784214886	"Vindeln_suckers_Jul"
"6.6_2.29.1_MERGED"	"S.Bd.Hs.B2.N.0614.1"	"1.1_2.29.1& 6.4_2.29.1& 6.5_2.29.1& 6.6_2.29.1"	4	"No"	"Hissjo clone B2"	"buds"	""	"P. abies Z4006"	NA	"Hissjo"	"June"	2014	1153819	956416	0.981543440756987	17652	8.99810684528294	"Z4006_Hissjo_buds_Jun"
"6.6_2.28.1_MERGED"	"S.Bd.Hs.K.N.0614.1"	"1.1_2.28.1& 6.4_2.28.1& 6.6_2.28.1"	3	"No"	"Hissjo clone K"	"buds"	""	"P. abies Z4006"	NA	"Hissjo"	"June"	2014	309946	137788	0.941775617039809	8023	38.4675466417654	"Z4006_Hissjo_buds_Jun"
"6.6_2.32.1_MERGED"	"S.Bd.Hs.S.N.0614.1"	"1.1_2.32.1& 6.4_2.32.1& 6.5_2.32.1& 6.6_2.32.1"	4	"No"	"Hissjo clone S"	"buds"	""	"P. abies Z4006"	NA	"Hissjo"	"June"	2014	468492	308642	0.820617663488541	55365	6.73178396284275	"Z4006_Hissjo_buds_Jun"
"6.6_2.30.1_MERGED"	"S.Bd.Hs.V.N.0614.1"	"1.1_2.30.1& 6.4_2.30.1& 6.5_2.30.1& 6.6_2.30.1"	4	"No"	"Hissjo clone V"	"buds"	""	"P. abies Z4006"	NA	"Hissjo"	"June"	2014	961508	576558	0.934673854490145	37664	1.93756310272313	"Z4006_Hissjo_buds_Jun"
"6.6_2.33.1_MERGED"	"S.Bd.Hs.Y.N.0614.1"	"1.1_2.33.1& 6.4_2.33.1& 6.5_2.33.1& 6.6_2.33.1"	4	"Yes"	"Hissjo clone Y"	"buds"	""	"P. abies Z4006"	NA	"Hissjo"	"June"	2014	903450	757629	0.88510842941047	87045	2.19645676960339	"Z4006_Hissjo_buds_Jun"
"6.6_2.31.1_MERGED"	"S.Bd.Hs.Z.N.0614.1"	"1.1_2.31.1& 6.4_2.31.1& 6.5_2.31.1& 6.6_2.31.1"	4	"No"	"Hissjo clone Z"	"buds"	""	"P. abies Z4006"	NA	"Hissjo"	"June"	2014	503752	267103	0.928467717685468	19106	2.89072839907079	"Z4006_Hissjo_buds_Jun"
"6.6_2.27.1_MERGED"	"S.Bd.S4.I.N.0614.1"	"1.1_2.22.1& 1.1_2.23.1& 1.1_2.27.1& 6.4_2.22.1& 6.4_2.23.1& 6.5_2.22.1& 6.5_2.27.1& 6.6_2.22.1& 6.6_2.23.1& 6.6_2.27.1"	10	"No"	"4006 I buds 6.14"	"buds"	""	"P. abies Z4006"	1	"Savar"	"June"	2014	907514	689611	0.959706947475277	27787	25.4156198017361	"Z4006_Savar_buds_Jun"
"6.6_2.27.2_MERGED"	"S.Bd.S4.I.N.0614.2"	"1.1_2.22.2& 1.1_2.23.2& 1.1_2.27.2& 6.4_2.22.2& 6.4_2.23.2& 6.5_2.22.2& 6.5_2.27.2& 6.6_2.22.2& 6.6_2.23.2& 6.6_2.27.2"	10	"No"	"4006 I buds 6.14"	"buds"	""	"P. abies Z4006"	1	"Savar"	"June"	2014	877065	740871	0.959780554820217	29797	3.84891498446422	"Z4006_Savar_buds_Jun"
"6.6_2.27.3_MERGED"	"S.Bd.S4.I.N.0614.3"	"1.1_2.22.3& 1.1_2.23.3& 1.1_2.27.3& 6.4_2.22.3& 6.4_2.23.3& 6.5_2.22.3& 6.5_2.27.3& 6.6_2.22.3& 6.6_2.23.3& 6.6_2.27.3"	10	"No"	"4006 I buds 6.14"	"buds"	""	"P. abies Z4006"	1	"Savar"	"June"	2014	1016658	692753	0.935079473523916	44974	1.63260829722027	"Z4006_Savar_buds_Jun"
"6.6_2.52.1_MERGED"	"S.Bd.S4.I.N.0814.1"	"6.1_2.52.1& 6.5_2.52.1& 6.6_2.52.1"	3	"No"	"4006 I buds 8.14"	"buds"	""	"P. abies Z4006"	1	"Savar"	"August"	2014	433311	396556	0.956530945523001	17238	21.3801062291212	"Z4006_Savar_buds_Aug"
"6.6_2.52.2_MERGED"	"S.Bd.S4.I.N.0814.2"	"6.1_2.52.2& 6.5_2.52.2& 6.6_2.52.2"	3	"No"	"4006 I buds 8.14"	"buds"	""	"P. abies Z4006"	1	"Savar"	"August"	2014	333739	300944	0.945119751069864	16516	22.1286087856771	"Z4006_Savar_buds_Aug"
"6.6_2.52.3_MERGED"	"S.Bd.S4.I.N.0814.3"	"6.1_2.52.3& 6.5_2.52.3& 6.6_2.52.3"	3	"No"	"4006 I buds 8.14"	"buds"	""	"P. abies Z4006"	1	"Savar"	"August"	2014	500608	436657	0.88442058143044	50469	1.75993104526224	"Z4006_Savar_buds_Aug"
"6.6_2.03.1_MERGED"	"S.Bd.S4.I.Y.0814.1"	"1.1_2.03.1& 6.5_2.03.1& 6.6_2.03.1"	3	"Yes"	"Z4006 buds 8. 14"	"buds"	""	"P. abies Z4006"	1	"Savar"	"August"	2014	242510	211090	0.96827986987693	6696	11.3218112942885	"Z4006_Savar_buds_Aug_ster"
"6.6_2.03.2_MERGED"	"S.Bd.S4.I.Y.0814.2"	"1.1_2.03.2& 6.5_2.03.2& 6.6_2.03.2"	3	"Yes"	"Z4006 buds 8. 14"	"buds"	""	"P. abies Z4006"	1	"Savar"	"August"	2014	459084	221884	0.977599213360579	4970	15.8051403868569	"Z4006_Savar_buds_Aug_ster"
"6.6_2.03.3_MERGED"	"S.Bd.S4.I.Y.0814.3"	"1.1_2.03.3& 6.5_2.03.3& 6.6_2.03.3"	3	"Yes"	"Z4006 buds 8. 14"	"buds"	""	"P. abies Z4006"	1	"Savar"	"August"	2014	155088	135829	0.962155534492204	5140	11.7222301686212	"Z4006_Savar_buds_Aug_ster"
"6.6_2.16.1_MERGED"	"S.Nd1.S4.I.N.0714.1"	"1.1_1.04.1& 1.1_2.16.1& 6.1_2.44.1& 6.4_2.16.1& 6.5_1.04.1& 6.5_2.16.1& 6.6_1.04.1& 6.6_1.05.1& 6.6_1.07.1& 6.6_2.16.1"	10	"No"	"4006 needles I 1st age class 7.14"	"needles"	"needles_1st"	"P. abies Z4006"	1	"Savar"	"July"	2014	1125929	802083	0.961342670695897	31006	8.72827254947766	"Z4006_Savar_needles1_Jul"
"6.6_2.16.2_MERGED"	"S.Nd1.S4.I.N.0714.2"	"1.1_1.04.2& 1.1_2.16.2& 6.1_2.44.2& 6.4_2.16.2& 6.5_1.04.2& 6.5_2.16.2& 6.6_1.04.2& 6.6_1.05.2& 6.6_1.07.2& 6.6_2.16.2"	10	"No"	"4006 needles I 1st age class 7.14"	"needles"	"needles_1st"	"P. abies Z4006"	1	"Savar"	"July"	2014	1372604	1020470	0.97021272216683	30397	2.52099318270182	"Z4006_Savar_needles1_Jul"
"6.6_2.16.3_MERGED"	"S.Nd1.S4.I.N.0714.3"	"1.1_1.04.3& 1.1_2.16.3& 6.1_2.44.3& 6.4_2.16.3& 6.5_1.04.3& 6.5_2.16.3& 6.6_1.04.3& 6.6_1.05.3& 6.6_1.07.3& 6.6_2.16.3"	10	"No"	"4006 needles I 1st age class 7.14"	"needles"	"needles_1st"	"P. abies Z4006"	1	"Savar"	"July"	2014	698988	543324	0.977262376064184	12354	3.61997185848155	"Z4006_Savar_needles1_Jul"
"6.6_2.45.1_MERGED"	"S.Nd2.S4.I.N.0714.1"	"1.1_1.06.1& 1.1_2.17.1& 6.1_2.45.1& 6.4_2.17.1& 6.5_1.06.1& 6.5_2.17.1& 6.6_2.45.1"	7	"No"	"4006 I needles 2nd age class 7.14"	"needles"	"needles_2nd"	"P. abies Z4006"	1	"Savar"	"July"	2014	877509	390768	0.74694213054653	98887	5.7723042286502	"Z4006_Savar_needles2_Jul"
"6.6_2.45.2_MERGED"	"S.Nd2.S4.I.N.0714.2"	"1.1_1.06.2& 1.1_2.17.2& 6.1_2.45.2& 6.4_2.17.2& 6.5_1.06.2& 6.5_2.17.2& 6.6_2.45.2"	7	"No"	"4006 I needles 2nd age class 7.14"	"needles"	"needles_2nd"	"P. abies Z4006"	1	"Savar"	"July"	2014	959249	432009	0.944386336991029	24026	12.7227755733323	"Z4006_Savar_needles2_Jul"
