OTU	SHA1	Superkingdom	Phylum	Class	Order	Family	Genus	Species
1	001247a59e655b9c5d1e5ed1bdf1e9dc928e4c43	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	uncultured Bacteroidetes bacterium
2	007d70303b8f2915ba4b33cc52223ef98bff2584	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	uncultured	uncultured organism
3	0096e05f3853fc4cbd33a3183ac762b623ab66b3	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Dinghuibacter	Dinghuibacter silviterrae
4	017b5caf8747a779fca6340454b794b27958eb10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	uncultured	uncultured bacterium
5	018534d589fdb950135e20c0eedfe514c5e7bd01	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Ambiguous_taxa
6	0199eaad4b9b07e631c95d601731a48b992bb90e	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vogesella	Ambiguous_taxa
7	02372c097ab98cfd7ec967acdcb5b6ad712c40be	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	bacterium enrichment culture clone auto123_4W
8	027db13e2b2f8a1ba552dd405504ce5389c9fac2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia	Ambiguous_taxa
9	0354cc42ae7a56f37f88cbe2884c3a64c757e34a	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	Ambiguous_taxa
10	038b88f78ac69ebd890f65dffc4c3e67696dc560	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	uncultured	uncultured bacterium
11	03f20eb9f6b41dadee53512836cf8b90ae33c25d	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas	uncultured bacterium
12	03fd41d2d6aa8de50a69eb71fff2b74b18aac90a	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Ambiguous_taxa
13	03fdb6f5b02124e4efa13108d41e66dfb472de41	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Ambiguous_taxa
14	04aee32926f081540e64e9261bd21c4e323f8585	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	uncultured bacterium
15	05548c5e3d99f32abf37b9d4f69132b976ed3675	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhapis	Ambiguous_taxa
16	0629b5e7dccf026bae1016841dcdbfa7f42191b9	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured bacterium
17	064d92ba17ad4e577eece2f2d77679f8f977d5d3	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Ambiguous_taxa
18	06f735d21b7466ee8e0fdc39ed13a8f0481248ff	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	Ambiguous_taxa
19	079841f179dec8d85dac783373dd0ddf7b66a590	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Sphaerotilus	Ambiguous_taxa
20	07cdff5c770721e149ddd985f10111c29667abee	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Endobacter	Ambiguous_taxa
21	083e9b044a4f6a7b6f348108ad41a5ad5856f490	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured alpha proteobacterium
22	08698e4618b670a0170623148ba88c77c24334c1	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	Ambiguous_taxa
23	0883070e07903ac8dd8ed9fb74c9298fff8bf979	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	uncultured bacterium
24	08b2cda217beffd38d6531609fe5917ae1a4d573	Bacteria	Verrucomicrobia	OPB35 soil group	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
25	08cd47cacf7458a57132a300131d7d684b2f7277	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	Gordonia kroppenstedtii DSM 45133
26	0906ee72406200f1133dd12a665bbf781945c739	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	uncultured bacterium
27	09a354528a523a26e81eeb6f6f35854588dd86c0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Ambiguous_taxa	uncultured bacterium
28	09b112198882b3fdfb68dd6e74cc017883aeb377	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	uncultured bacterium
29	0a143f96e0fde515bcc4e0331dcef5902a50b678	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	1174-901-12	uncultured bacterium	uncultured bacterium
30	0a1a674a9a1ada104e1d5686b43172692ef2918e	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
31	0a4bd8966a53e32ee4891c7751be88975169187f	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
32	0a84269d6d41a049c655d6a8e9b701472ef8390a	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Ambiguous_taxa
33	0a8e921ee76195a2bcbb607f087a3a42d72b2ac8	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Ambiguous_taxa
34	0aa8a335365318834291600121683b0c53184c8c	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
35	0abf4f186cffabb91edc82589892fabadb67bdcc	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia	uncultured bacterium
36	0aec591343c5fa9c3084f00dcd01bc06d3537b52	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadales Incertae Sedis	Acidibacter	Ambiguous_taxa
37	0b0be42e65163f4cff4a1df67a058e73297d3fca	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	1174-901-12	Ambiguous_taxa	Ambiguous_taxa
38	0b18b16677fb23ba807fa069aa4d67a957e00b63	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter sp. Aws5
39	0b2e7d2e33a4d7ca1eedda9df568ec55e30804b2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocella	uncultured bacterium
40	0b54b89266a97b0cc26f898ddde157f5aed08e1a	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	Ambiguous_taxa
41	0b57f092b15a66cf626c13185df716ec6350bb4e	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS 17	Ambiguous_taxa	Ambiguous_taxa
42	0b6faf4ae125da0c1592873853164c31d766370a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	uncultured bacterium
43	0bba0f5590c5ce0577ae4863b79ce28eee95fa0b	Bacteria	Verrucomicrobia	OPB35 soil group	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
44	0c12eb47256fc5bf0ed6b14238297745f7404b4d	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
45	0ca60e029dbf24a6f67eacec38e5d1b57a6e377b	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria Incertae Sedis	uncultured	uncultured bacterium	uncultured bacterium
46	0cbde142eeb281402131b4547e29ac06a11df7ee	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured bacterium
47	0d07c09bf3db4f5667050d2a144a2d3956f6b106	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	Granulicella cerasi
48	0d51c54faf11c5b3538f5fc4c159bea7481cf486	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	YNPFFP1	uncultured bacterium	uncultured bacterium
49	0d766e0371c014f79b7493374df945b540122a42	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Ambiguous_taxa
50	0e090ecd535ff30a79185849016ec770a5f10d69	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	7B-8	uncultured bacterium	uncultured bacterium
51	0e6a65f5e7948be1c3ca83ff4b67050b9cac1ad5	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	uncultured bacterium
52	0eae797711f6d63a6f666c4d737b8976705acd99	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	Ambiguous_taxa
53	0ef7bde7964a75a8ce35ecfbec2d83d5662e19e8	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Ambiguous_taxa
54	0effef2e834514bcb6ce33082befd89e6dd18143	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
55	0f12dfd07b9482543143c04e1ea3120f47769e53	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	uncultured bacterium
56	0f33d73fbbfe99ec5b205a4adeeef47dd88cc222	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	swine fecal bacterium RF2B-Pec11
57	0f74d5aed326412702faf89223d76f3658f9f6b4	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	uncultured bacterium
58	10370c8f128e1311400042c7629a0ea848aeaac7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 7	uncultured bacterium
59	1038576b73deaf3e7a1202732088e35f664ff081	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	uncultured bacterium
60	1051bc0a231bd534a289a4293c7985262964c16b	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella nautarum
61	106f96bf793c7c1a4ce059dfbc2a3bf85405e839	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ambiguous_taxa	uncultured bacterium
62	107b967113fd14ffcf0304ca22b7df5d3da9f17e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Variibacter	uncultured forest soil bacterium
63	109e4715c3a266e8afd13d9bd6894dab0923ddc6	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Ambiguous_taxa
64	10df4ac49f1660d027c7bac3330035d3ddba589e	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	uncultured Sphingobacteriaceae bacterium
65	1147c07e14f5f5d9cd485f82926a7cbdfd023aee	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Angustibacter	Ambiguous_taxa
66	1183a17c51e8501df87a045a271c5aff001dd3b1	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Pseudarcicella	uncultured bacterium
67	11d6e6402f70947333fd927f09a97438d857165b	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	uncultured bacterium
68	122c6750c12f23733175f862908c855a81ef6842	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ambiguous_taxa	Ambiguous_taxa
69	1231ceeb8c33c9a32007a225b93b11b3254048fc	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	Ambiguous_taxa
70	1234d6edf0ec19d1c646830ed82f4da8e96bc5b5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	Ambiguous_taxa
71	12a0f77f79a749fc42573bf39c03b156a9a5e202	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Ellin6055	Ambiguous_taxa	Ambiguous_taxa
72	12f9676cd2b836cc53b7a81eec7d8094a2331a48	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Ambiguous_taxa
73	1303dbaeda0e27fa6a6cfec8671c2966906e3837	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	1174-901-12	Ambiguous_taxa	Ambiguous_taxa
74	13225c89cc081f0c762bc12033cf92341be00ecf	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ambiguous_taxa	Ambiguous_taxa
75	136de08b92a7227953c106f75f6c906bf25bc594	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylotenera	uncultured bacterium
