GeneId	Sample107	Sample108	Sample109	Sample110	Sample111	Sample112	Sample115	Sample116	Sample117	Sample118	Sample119	Sample120	Sample134	Sample135	Sample136	Sample143	Sample144	Sample145	
gi|1000239345|gb|KXK02744.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1000239547|gb|KXK02945.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1000239826|gb|KXK03220.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1000241440|gb|KXK04813.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1000242345|gb|KXK05709.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90748	0	0
gi|1000243715|gb|KXK07061.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1000868601|ref|WP_061129867.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.73632	10.7851	17.8563
gi|1000872402|ref|WP_061132339.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1001141754|emb|CVI07038.1|	0	0	0	0	3.7017	0	0	3.31733	0	18.3964	0	0	0	0	0	0	0	0
gi|1001779970|ref|WP_061319425.1|	0	0	0	0	0	0	0	0	2.1538	0	15.0826	0	0	0	0	0	0	0
gi|1001864886|gb|AMM31372.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.8389	25.582	0
gi|1001933578|gb|KXS52094.1|	0	0	0	0	0	0	0	0	0	0	3.19714	0	0	0	0	10.6981	0	0
gi|1002337176|emb|CUU94891.1|	0	667.211	0	252.869	0	427.803	0	1150.22	1850.64	0	645.608	1215.52	0	0	0	0	0	0
gi|1002518318|gb|KXT94271.1|	0	0	0	0	0	0	0	19.2189	0	70.1973	0	24.7349	0	0	4.3261	0	0	5.60663
gi|1002738196|gb|AMN42113.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1002738691|gb|AMN42608.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1002739966|gb|AMN43883.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26606	0
gi|1002803689|gb|KXU38080.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1003032500|emb|CZR24135.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	0
gi|1003032779|emb|CZR22053.1|	0	5.25506	0	0	0	0	0	0	0	0	13.858	0	0	0	0	0	0	0
gi|1003041930|emb|CZF85526.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.28189
gi|1003176906|gb|KXV34626.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1003340911|gb|AMO42679.1|	0	0	0	3.2149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1003340953|gb|AMO42700.1|	0	0	0	0	0	0	0	0	0	0	6.65626	0	0	0	0	0	0	0
gi|1003385137|dbj|BAU64961.1|	1.93375	0	0	0	0	0	0	0	5.93852	0	0	13.7153	0	3.37305	6.63961	0	0	0
gi|1003387136|dbj|BAU66960.1|	0	0	0	0	0	0	0	13.6994	0	0	0	0	0	0	0	0	0	0
gi|10039641|gb|AAG12204.1|AF287482_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	614.851	152.918	208.319
gi|1004068179|gb|AMO97205.1|	0	0	0	0	0	0	0	0	0	0	3.19714	0	0	0	0	0	0	0
gi|1004128656|gb|KXZ39001.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	0
gi|1004352262|ref|WP_061528778.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.6589	7.66926	0
gi|1004361976|ref|WP_061533462.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90748	0	0
gi|1004657399|ref|WP_061544908.1|	0	0	5.19072	0	3.7017	2.68492	0	0	0	0	0	0	0	0	0	0	0	0
gi|1004660710|ref|WP_061547314.1|	0	6.34172	0	0	0	1.86477	7.04653	0	0	0	0	0	17.8679	0	16.2526	26.9379	209.025	0
gi|1004816551|gb|KYC42499.1|	0	0	0	4.52382	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1004817635|gb|KYC43576.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.63961	0	0	0
gi|1004818050|gb|KYC43990.1|	0	5.25506	0	4.52382	0	0	0	0	3.37379	0	0	0	0	0	113.347	40.2172	0	0
gi|1004848122|gb|KYC58939.1|	0	14.0728	75.0121	4.52382	0	3.47738	2.00473	0	5.93852	20.4567	9.02416	0	0	35.2436	68.9844	0	0	0
gi|1004852178|gb|KYC62777.1|	557.467	2395.55	4212.99	463.568	781.873	815.134	1727.14	6844.4	6757.87	1989.92	4370.96	5653.48	2392.18	5546.59	4198.89	2032.82	1223.24	1962.93
gi|1004874519|gb|KYC84621.1|	0	0	0	0	5.4281	0	0	0	0	0	0	0	0	0	0	10.6981	0	0
gi|1005211193|gb|KYF81287.1|	37.4001	69.2662	435.127	0	0	36.6932	199.554	237.275	149.171	320.541	318.07	174.37	84.2459	132.989	49.2753	23.131	34.1055	167.597
gi|1005211566|gb|KYF81550.1|	0	0	7.3241	0	0	0	0	0	0	0	0	10.1286	0	12.7846	0	0	0	5.60663
gi|1005325364|ref|WP_061610404.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1005371823|gb|AMP97598.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26606	0
gi|1005372633|gb|AMP98408.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1005372733|gb|AMP98508.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.87653	0	0
gi|1005374098|gb|AMP99873.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1005374099|gb|AMP99874.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.50302
gi|1005374895|gb|AMQ00671.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1005375537|gb|AMQ01313.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1005757003|ref|WP_061710073.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	0
gi|1006487191|ref|WP_061774421.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70454
gi|1006511357|ref|WP_061781006.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1006612484|ref|WP_061815136.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.44703	0
gi|1007017250|ref|WP_061834721.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008894046|gb|AMR25713.1|	0	0	0	0	0	0	0	0	0	0	0	2.07594	0	0	0	0	0	0
gi|1008894371|gb|AMR26038.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008894388|gb|AMR26055.1|	0	0	0	0	0	0	0	0	0	0	4.33449	0	0	0	0	0	0	0
gi|1008894415|gb|AMR26082.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008894458|gb|AMR26125.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.66926	0
gi|1008894461|gb|AMR26128.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	10.0137	0
gi|1008894463|gb|AMR26130.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.50302
gi|1008894516|gb|AMR26183.1|	0	0	0	0	0	0	0	0	0	0	2.08194	0	0	0	0	0	0	0
gi|1008894618|gb|AMR26285.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008894662|gb|AMR26329.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008894720|gb|AMR26387.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1008894898|gb|AMR26565.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	0
gi|1008894946|gb|AMR26613.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1008895314|gb|AMR26981.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1008895320|gb|AMR26987.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	3.79555
gi|1008895427|gb|AMR27094.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1008895453|gb|AMR27120.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008895454|gb|AMR27121.1|	0	0	0	0	0	0	0	0	0	2.01048	0	0	0	0	0	0	0	0
gi|1008895481|gb|AMR27148.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008895630|gb|AMR27297.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61591	0
gi|1008895634|gb|AMR27301.1|	0	0	0	0	0	0	0	0	2.1538	0	0	0	0	0	0	0	0	0
gi|1008895703|gb|AMR27370.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	1.94822
gi|1008895796|gb|AMR27463.1|	0	0	0	0	0	0	0	0	0	0	0	2.07594	0	0	0	0	0	0
gi|1008895838|gb|AMR27505.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008895939|gb|AMR27606.1|	0	0	0	0	0	0	0	0	0	4.04201	0	0	0	0	0	0	0	0
gi|1008895943|gb|AMR27610.1|	0	0	0	0	0	0	0	0	0	0	2.08194	0	0	0	0	0	0	0
gi|1008896059|gb|AMR27726.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008896082|gb|AMR27749.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26606	0
gi|1008896084|gb|AMR27751.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90748	0	0
gi|1008896086|gb|AMR27753.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008896248|gb|AMR27915.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1008896295|gb|AMR27962.1|	0	0	0	0	0	0	0	0	0	0	2.08194	0	0	0	0	0	0	0
gi|1008896344|gb|AMR28011.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1008896432|gb|AMR28099.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1008896483|gb|AMR28150.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	28.0665
gi|1008896494|gb|AMR28161.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	3.79555
gi|1008896607|gb|AMR28274.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1008896668|gb|AMR28335.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008896686|gb|AMR28353.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.87653	8.45627	6.50302
gi|1008896689|gb|AMR28356.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8437	0	0
gi|1008896691|gb|AMR28358.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1008896695|gb|AMR28362.1|	0	0	0	0	0	0	0	0	0	0	2.08194	0	0	0	0	0	0	0
gi|1008896696|gb|AMR28363.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008896780|gb|AMR28447.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6981	1.90155	0
gi|1008896786|gb|AMR28453.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7851	0
gi|1008896788|gb|AMR28455.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90748	2.76934	4.70454
gi|1008896789|gb|AMR28456.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8437	0	5.60663
gi|1008896793|gb|AMR28460.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61591	0
gi|1008896797|gb|AMR28464.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1008896798|gb|AMR28465.1|	0	0	0	0	0	0	0	0	0	0	0	2.07594	0	0	0	0	2.76934	0
gi|1008896799|gb|AMR28466.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26606	0
gi|1008896803|gb|AMR28470.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1008896804|gb|AMR28471.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008896805|gb|AMR28472.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.87653	0	0
gi|1008896809|gb|AMR28476.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.16548
gi|1008896817|gb|AMR28484.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96199	0	0
gi|1008896820|gb|AMR28487.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98398	0	0
gi|1008896821|gb|AMR28488.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1008896827|gb|AMR28494.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008896904|gb|AMR28571.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1008896906|gb|AMR28573.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8437	0	0
gi|1008897002|gb|AMR28669.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	0
gi|1008897041|gb|AMR28708.1|	0	0	0	0	0	0	0	0	0	0	0	2.07594	0	0	0	0	0	0
gi|1008897051|gb|AMR28718.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61591	0
gi|1008897053|gb|AMR28720.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.44703	0
gi|1008897057|gb|AMR28724.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1008897060|gb|AMR28727.1|	0	0	0	0	0	0	0	0	0	0	0	6.60677	0	0	0	0	0	0
gi|1008897327|gb|AMR28994.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70454
gi|1008897346|gb|AMR29013.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96199	0	0
gi|1008897370|gb|AMR29037.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1008897439|gb|AMR29106.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008897647|gb|AMR29314.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87783
gi|1008897962|gb|AMR29629.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87783
gi|1008897981|gb|AMR29648.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	0
gi|1008898030|gb|AMR29697.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1008898039|gb|AMR29706.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94822
gi|1008898132|gb|AMR29799.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1008898160|gb|AMR29827.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1008898185|gb|AMR29852.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.4062	0	0
gi|1008898472|gb|AMR30137.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1008898562|gb|AMR30227.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	3.61591	2.87783
gi|1008898564|gb|AMR30229.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70454
gi|1008898573|gb|AMR30238.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	5.60663
gi|1008898589|gb|AMR30254.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1008898590|gb|AMR30255.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61591	0
gi|1008898648|gb|AMR30313.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8437	0	0
gi|1008898655|gb|AMR30320.1|	0	0	0	0	0	0	0	0	0	4.04201	0	0	0	0	0	0	0	0
gi|1008898801|gb|AMR30466.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1008898825|gb|AMR30490.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79555
gi|1008898909|gb|AMR30574.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	0
gi|1008898928|gb|AMR30593.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008899021|gb|AMR30686.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008899280|gb|AMR30945.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008899378|gb|AMR31043.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90155	0
gi|1008899440|gb|AMR31105.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93616	0	0
gi|1008899441|gb|AMR31106.1|	0	0	0	0	0	0	0	0	0	2.01048	0	0	0	0	0	0	0	0
gi|1008899449|gb|AMR31114.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61591	0
gi|1008899457|gb|AMR31122.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76934	0
