GeneId	Sample101	Sample102	Sample103	Sample104	Sample105	Sample106	Sample113	Sample114	Sample121	Sample122	Sample123	Sample124	Sample125	Sample126	Sample127	Sample128	Sample129	Sample130	Sample131	Sample132	Sample133	Sample137	Sample138	Sample139	Sample140	Sample141	Sample142	Sample146	Sample147	Sample148	
gi|1000078519|gb|KXJ47009.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.23026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000242302|gb|KXK05667.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01673	0	0	0	0	0	0	0
gi|1000248212|gb|KXK11393.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000256479|gb|KXK19347.1|	0	0	0	0	0	0	4.14747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000260271|gb|KXK22963.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24692	0	0	0	0	0	0	0	0
gi|1000260870|gb|KXK23527.1|	0	0	0	0	0	0	0	0	0	0	0	2.04964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000261140|gb|KXK23785.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08848	0	0	0	0	0	0
gi|1000261219|gb|KXK23861.1|	0	0	0	0	0	0	0	0	0	0	0	2.04964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000261360|gb|KXK23995.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01673	0	0	0	0	0	0	0
gi|1000261640|gb|KXK24263.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.06719	0	0	0	0	0	0	0
gi|1000262685|gb|KXK25269.1|	0	0	0	0	0	0	0	0	0	0	0	2.04964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000262998|gb|KXK25567.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01673	0	0	0	0	0	0	0
gi|1000267361|gb|KXK29834.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.20241	0	0	0	0	0	0	0
gi|1000268290|gb|KXK30740.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.04864	0	0	0	0	0	0	0	0
gi|1000268894|gb|KXK31326.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24692	0	0	0	0	0	0	0	0
gi|1000269231|gb|KXK31653.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08848	0	0	0	0	0	0
gi|1000276813|gb|KXK38909.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14551	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000279411|gb|KXK41365.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01673	0	0	0	0	0	0	0
gi|1000290827|gb|KXK52115.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01673	0	0	0	0	0	0	0
gi|1000295214|gb|KXK56203.1|	0	0	3.66146	0	0	0	6.28743	0	7.93134	0	0	0	0	0	0	6.48184	6.84725	0	0	16.4518	0	0	0	0	0	0	0	0	0	0
gi|1000868601|ref|WP_061129867.1|	0	0	0	0	0	0	0	0	0	3.36903	0	8.61058	0	0	0	3.14551	3.60588	9.43838	0	0	0	0	0	0	0	5.968	0	0	0	0
gi|1001141754|emb|CVI07038.1|	23.1451	0	0	0	0	0	83.9519	20.6569	64.9301	36.6771	56.8388	16.5078	24.443	0	63.1672	12.198	12.2487	10.2394	8.19545	0	23.1246	8.10661	7.1656	0	39.0345	0	0	112.515	0	11.3237
gi|1001143872|emb|CVH88930.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.5446	43.5484	0
gi|1001626180|ref|WP_061205895.1|	3.59866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1001636332|ref|WP_061214192.1|	0	0	0	0	0	0	0	0	0	5.92627	0	0	0	0	6.23026	0	0	0	0	0	0	33.0776	0	0	0	0	0	64.5502	0	5.4484
gi|1001677072|ref|WP_061242563.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24692	0	0	0	0	0	0	0	0
gi|1001793508|ref|WP_061329838.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03987	0	0	0	11.9545	0	0	0
gi|1001906936|gb|AMM40682.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85498	0	0	0	0	0
gi|1001931896|gb|KXS50979.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2149	30.1974	0	4.19821	0	0	0	0	0
gi|1001933578|gb|KXS52094.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.55179	0	3.21306	0	0	0	0	0	0
gi|1002476873|gb|KXT61095.1|	0	152.031	0	5.4629	0	12.5624	0	0	4.96398	0	30.975	21.0855	0	0	96.6834	0	2.76325	37.4879	0	0	0	0	0	303.655	0	0	0	0	0	0
gi|1002518318|gb|KXT94271.1|	12.2008	23.9988	0	0	176.618	8.22366	35.0315	14.7818	525.722	11.3504	477.04	59.7996	300.271	106.852	134.962	96.6349	153.729	123.144	0	195.831	0	0	0	109.379	0	30.8949	0	0	0	0
gi|1002742981|gb|AMN46895.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08848	0	0	0	0	0	0
gi|1002988397|ref|WP_061432924.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08669	0	0	0	0
gi|1003032779|emb|CZR22053.1|	0	0	0	0	0	0	0	0	0	9.96452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
