Class	Sample101	Sample102	Sample103	Sample104	Sample105	Sample106	Sample113	Sample114	Sample121	Sample122	Sample123	Sample124	Sample125	Sample126	Sample127	Sample128	Sample129	Sample130	Sample131	Sample132	Sample133	Sample137	Sample138	Sample139	Sample140	Sample141	Sample142	Sample146	Sample147	Sample148
 Agaricomycetes	5673.05953	1554.26797	3222.13693	1281.50027	5299.29234	5215.56178	27993.66022	18285.19778	25334.80801	89359.29751	36481.67081	68260.13249	27643.495	12350.41187	13595.96093	27929.94143	12445.59524	8503.47018	41632.62727	11110.81827	10537.27127	23414.81059	19294.64111	51808.58099	5745.55617	2646.34487	4141.65099	299061.0766	173173.8927	42616.20149
 Chytridiales	9.16146	1.93687	16.7703	5.4629	3.15381	12.5624	12.8046	14.7818	3.55985	82.2876	11.478	148.278	3.16894	14.3091	6.23026	18.0315	6.05151	0	20.7077	0	12.4907	8.10661	9.24078	3461.57	3.44095	0	3.28709	57.9314	0	13.7819
 Dothideomycetes	1043.36253	1026.24839	460.72647	2557.03353	2203.5347	650.95643	12028.30132	11820.33002	38201.45281	20220.78513	13532.40829	8362.6549	6899.91594	5166.05732	19291.61685	26521.37057	9751.16168	5084.26342	11385.60806	5545.22491	11850.33086	9391.9357	8967.15873	12053.50738	9069.82899	10946.38633	5049.61223	67266.35378	103087.9131	11800.28316
 Eurotiomycetes	627.60623	584.63464	419.89151	584.4425	1885.59934	1081.20115	2465.00466	2110.08711	1912.06368	8542.843	12519.88933	8359.11623	3828.80309	1389.2405	5677.47055	9027.0233	3503.6345	2519.97559	3142.55746	4358.03092	2152.64215	1370.52016	5801.159	17425.64082	3639.4471	1608.43081	2946.0841	5016.56074	23754.7189	10768.15082
 Exobasidiomycetes	5.49567	6.60274	1.74885	7.54064	21.87508	11.09135	10.42928	35.46509	9.47808	25.08088	21.93137	29.57803	160.0844	10.8569	26.28521	394.0632	307.3746	220.78628	28.96679	64.8255	17.50242	29.5588	43.59833	50.46418	139.8838	138.80081	78.85643	10.0146	3.12606	16.80174
 Lecanoromycetes	0	1.93687	0	0	0	0	3.08732	0	0	0	0	0	0	0	0	6.48184	8.41734	7.00529	0	0	0	0	0	0	20.7353	8.54747	24.7403	0	0	0
 Leotiomycetes	133.39469	41.45954	53.48426	67.85251	55.45981	90.70466	321.69927	189.8166	2570.3492	3884.829	3083.9206	1318.8336	333.52928	181.22267	208.99641	836.6876	661.85	657.0987	220.54905	205.13142	411.79686	1730.5213	1080.7418	4514.5941	810.1887	533.9604	622.1543	1221.9708	1054.66792	207.4932
 Microbotryomycetes	233.914	278.518	3.05848	87.978	675.104	442.545	99.8416	405.968	2057.446	707.416	461.368	192.9409	845.385	16.0215	13.7201	485.8866	46.74681	228.2887	592.674	20.37652	424.0219	1323.7163	661.803	185.3652	138.3503	63.3886	185.10407	1815.346	896.124	494.779
 mitosporic Ascomycota	1.89701	6.39721	3.05848	0	0	1.94389	0	2.98222	71.92648	29.93032	0	22.8222	7.71331	11.7238	2.02935	86.2247	81.05221	24.92098	40.6943	1.95732	2.02248	2.24692	30.10743	19.62035	218.1868	83.3297	130.4086	17.1498	4.21325	6.51187
 Mixiomycetes	43.2302	90.0302	31.8124	29.8433	3.15381	70.828	108.153	207.876	35.6043	533.788	1521.37	493.139	2016.7	31.9908	82.1242	503.043	286.652	220.111	198.707	205.637	216.736	329.093	131.394	836.159	177.221	95.363	85.8737	13757.7	310.007	5572.42
 Orbiliomycetes	0	1.93687	0	0	0	0	4.14747	0	0	0	0	0	5.41783	0	3.07008	4.24635	3.60588	0	0	0	0	166.997	67.2795	0	5.6666	14.139	3.28709	0	0	107.304
 Pneumocystidomycetes	15.9147	39.3296	0	0	14.6097	5.57447	51.9716	36.2841	270.064	90.7515	186.945	8.61058	15.9692	28.6642	12.6434	20.3887	18.9207	4.51169	9.2325	17.3365	3.05363	377.969	61.9627	22.8358	9.1619	5.42301	2.56781	193.838	25.867	47.3739
