GeneId	Sample101	Sample102	Sample103	Sample104	Sample105	Sample106	Sample113	Sample114	Sample121	Sample122	Sample123	Sample124	Sample125	Sample126	Sample127	Sample128	Sample129	Sample130	Sample131	Sample132	Sample133	Sample137	Sample138	Sample139	Sample140	Sample141	Sample142	Sample146	Sample147	Sample148	
gi|1000219502|gb|KXJ88515.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08669	0	0	0	0
gi|1000220794|gb|KXJ89803.1|	0	0	0	0	2.0641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000222870|gb|KXJ91874.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7569	0	0	0	0
gi|1000223336|gb|KXJ92340.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56781	0	0	0
gi|1000223970|gb|KXJ92973.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08848	0	0	0	0	0	0
gi|1000225114|gb|KXJ94116.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51169	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000227135|gb|KXJ96136.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7569	0	0	0	0
gi|1000227807|gb|KXJ96807.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85498	0	0	0	0	0
gi|1000228022|gb|KXJ97022.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.24718	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000228027|gb|KXJ97027.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35924	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000228211|gb|KXJ97211.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24635	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000480299|gb|KXL41600.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7569	0	0	0	0
gi|1000480342|gb|KXL41627.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06067	6.05151	0	0	0	0	0	0	0	7.08948	14.5795	22.1897	0	0	0
gi|1000480343|gb|KXL41628.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66261	0	1.81303	0	0	0
gi|1000480613|gb|KXL41872.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06067	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000480907|gb|KXL42139.1|	0	0	0	0	0	0	0	0	0	0	0	0	3.16894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000481094|gb|KXL42295.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7569	0	0	0	0
gi|1000481103|gb|KXL42304.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91341	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000481367|gb|KXL42535.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7569	0	0	0	0
gi|1000481731|gb|KXL42830.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.08948	0	0	0	0	0
gi|1000481939|gb|KXL43000.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85498	0	0	0	0	0
gi|1000482179|gb|KXL43212.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.60588	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1000482219|gb|KXL43248.1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66261	0	0	0	0	0
gi|1000482242|gb|KXL43269.1|	0	2.85129	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14551	0	0	0	0	0	0	0	0	0	0	0	0	0	0
