143-145;107-109;110-112;115-117;118-120;134-136
 Actinobacteria; Actinobacteria; Actinobacteria; Actinobacteria; Actinobacteria; Actinobacteria
 Alphaproteobacteria; Alphaproteobacteria; Alphaproteobacteria; Alphaproteobacteria; Alphaproteobacteria; Alphaproteobacteria
 Aquificae; Bacilli; Bacilli; Aquificae; Bacilli; Bacilli
 Bacilli; Bacteria; Bacteria; Bacilli; Bacteria; Bacteria
 Bacteria; Bacteroidia; Bacteroidia; Bacteria; Bacteroidia; Bacteroidia
 Bacteroidia; Betaproteobacteria; Betaproteobacteria; Bacteroidia; Betaproteobacteria; Betaproteobacteria
 Betaproteobacteria; Chlamydiia; Chlamydiia; Betaproteobacteria; Chlamydiia; Chlamydiia
 Chlamydiia; Clostridia; Clostridia; Chlamydiia; Clostridia; Clostridia
 Chlorobia; Cyanobacteria; Cyanobacteria; Clostridia; Cyanobacteria; Cyanobacteria
 Chthonomonadetes; Deltaproteobacteria; Epsilonproteobacteria; Cyanobacteria; Cytophagia; Deltaproteobacteria
 Clostridia; Epsilonproteobacteria; Flavobacteriia; Deltaproteobacteria; Deltaproteobacteria; Epsilonproteobacteria
 Cyanobacteria; Flavobacteriia; Fusobacteriia; Epsilonproteobacteria; Epsilonproteobacteria; Erysipelotrichi
 Cytophagia; Fusobacteriia; Gammaproteobacteria; Erysipelotrichi; Erysipelotrichi; Flavobacteriia
 Deinococci; Gammaproteobacteria; Mollicutes; Flavobacteriia; Flavobacteriia; Fusobacteriia
 Deltaproteobacteria; Mollicutes; Opitutae; Fusobacteriia; Fusobacteriia; Gammaproteobacteria
 Epsilonproteobacteria; Negativicutes; Planctomycetacia; Gammaproteobacteria; Gammaproteobacteria; Negativicutes
 Erysipelotrichi; Opitutae; uncultured; Negativicutes; Mollicutes; Opitutae
 Flavobacteriia; Planctomycetacia;; Opitutae; Negativicutes; Planctomycetacia
 Fusobacteriia; uncultured;; Planctomycetacia; Opitutae; uncultured
 Gammaproteobacteria;;; uncultured; Planctomycetacia;
 Mollicutes;;; Verrucomicrobiae; Spirochaetia;
 Negativicutes;;;; Thermotogae;
 Opitutae;;;; uncultured;
 Planctomycetacia;;;;;
 Sphingobacteriia;;;;;
 Spirochaetia;;;;;
 Thermotogae;;;;;
 uncultured;;;;;
 Verrucomicrobiae;;;;;
