107-109;110-112;115-117;118-120;134-136;143-145
 Agaricomycetes; Sordariomycetes; Agaricomycetes; Agaricomycetes; Agaricomycetes; Agaricomycetes
 Tremellomycetes; Leotiomycetes; Basal; Basal; Tremellomycetes; Basal
 Taphrinomycotina; Agaricomycetes; Basidiomycota incertae; Basidiomycota incertae; Dothideomycetes; Basidiomycota incertae
 Sordariomycetes; Dothideomycetes; Chytridiales; Chytridiales; Saccharomycetes; Chytridiales
 Saccharomycetes; Microbotryomycetes; Dothideomycetes; Dothideomycetes; Sordariomycetes; Dothideomycetes
 Pucciniomycetes; Saccharomycetes; Eurotiomycetes; Eurotiomycetes; Basidiomycota incertae; environmental
 Pneumocystidomycetes; Mixiomycetes; Exobasidiomycetes; Exobasidiomycetes; Microbotryomycetes; Eurotiomycetes
 Mixiomycetes; Eurotiomycetes; Leotiomycetes; Leotiomycetes; Exobasidiomycetes; Exobasidiomycetes
 Microsporea; Pucciniomycetes; Microbotryomycetes; Microbotryomycetes; Eurotiomycetes; Gonapodyaceae
 Microbotryomycetes; Taphrinomycotina; Mixiomycetes; Microsporea; Microsporea; Lecanoromycetes
 Leotiomycetes;; Pneumocystidomycetes; mitosporic Ascomycota; Leotiomycetes; Leotiomycetes
 Eurotiomycetes;; Pucciniomycetes; Mixiomycetes; Pneumocystidomycetes; Microbotryomycetes
 Dothideomycetes;; Saccharomycetes; Pneumocystidomycetes; Chytridiales; Microsporea
 Chytridiales;; Sordariomycetes; Pucciniomycetes; Pucciniomycetes; mitosporic Ascomycota
 Basidiomycota incertae;; Taphrinomycotina; Saccharomycetes; Mixiomycetes; Mixiomycetes
;; Tremellomycetes; Sordariomycetes; Taphrinomycotina; Orbiliomycetes
;;; Taphrinomycotina;; Pezizomycetes
;;; Tremellomycetes;; Pneumocystidomycetes
;;;;; Pucciniomycetes
;;;;; Saccharomycetes
;;;;; Sordariomycetes
;;;;; Taphrinomycetes
;;;;; Taphrinomycotina
;;;;; Tremellomycetes
;;;;; Ustilaginomycetes
