101-103;146-148;121-123;137-139;131-133;128-130;140-142;Hissjö buds
 Actinobacteria; Actinobacteria; Actinobacteria; Actinobacteria; Actinobacteria; Actinobacteria; Actinobacteria; Actinobacteria
 Alphaproteobacteria; Alphaproteobacteria; Alphaproteobacteria; Alphaproteobacteria; Alphaproteobacteria; Alphaproteobacteria; Alphaproteobacteria; Alphaproteobacteria
 Bacilli; Bacilli; Bacilli; Bacilli; Bacilli; Bacilli; Bacilli; Bacilli
 Bacteroidia; Bacteroidia; Bacteroidia; Bacteroidia; Bacteroidia; Bacteroidia; Bacteroidia; Bacteroidia
 Betaproteobacteria; Betaproteobacteria; Betaproteobacteria; Betaproteobacteria; Betaproteobacteria; Betaproteobacteria; Betaproteobacteria; Betaproteobacteria
 Chlamydiia; Chlamydiia; Chlamydiia; Chlamydiia; Chlamydiia; Chlamydiia; Chlamydiia; Chlamydiia
 Clostridia; Clostridia; Clostridia; Clostridia; Clostridia; Clostridia; Clostridia; Clostridia
 Coriobacteriia; Coriobacteriia; Coriobacteriia; Coriobacteriia; Coriobacteriia; Coriobacteriia; Coriobacteriia; Coriobacteriia
 Cyanobacteria; Cyanobacteria; Cyanobacteria; Cyanobacteria; Cyanobacteria; Cyanobacteria; Cyanobacteria; Cyanobacteria
 Deltaproteobacteria; Epsilonproteobacteria; Deltaproteobacteria; Dehalococcoidetes; Deltaproteobacteria; Deltaproteobacteria; Epsilonproteobacteria; Deltaproteobacteria
 Epsilonproteobacteria; Erysipelotrichi; Epsilonproteobacteria; Deinococci; Epsilonproteobacteria; Epsilonproteobacteria; Erysipelotrichi; Epsilonproteobacteria
 Erysipelotrichi; Flavobacteriia; Erysipelotrichi; Deltaproteobacteria; Erysipelotrichi; Erysipelotrichi; Flavobacteriia; Erysipelotrichi
 Flavobacteriia; Fusobacteriia; Fimbriimonadia; Epsilonproteobacteria; Flavobacteriia; Flavobacteriia; Fusobacteriia; Flavobacteriia
 Fusobacteriia; Gammaproteobacteria; Flavobacteriia; Erysipelotrichi; Fusobacteriia; Fusobacteriia; Gammaproteobacteria; Fusobacteriia
 Gammaproteobacteria; Negativicutes; Fusobacteriia; Fimbriimonadia; Gammaproteobacteria; Gammaproteobacteria; Mollicutes; Gammaproteobacteria
 Negativicutes; Opitutae; Gammaproteobacteria; Flavobacteriia; Negativicutes; Negativicutes; Negativicutes; Negativicutes
 Planctomycetacia;; Gloeobacteria; Fusobacteriia; Opitutae; Opitutae;; Opitutae
;; Negativicutes; Gammaproteobacteria; Verrucomicrobiae;;;
;; Opitutae; Mollicutes;;;;
;; Planctomycetacia; Negativicutes;;;;
;; Spirochaetia; Opitutae;;;;
;;; Planctomycetacia;;;;
;;; Spirochaetia;;;;
;;; Thermotogae;;;;
;;; Verrucomicrobiae;;;;
