101-103;104-106;Hissjö buds;128-130;131-133;137-139;140-142;146-148;;121-123
 Agaricomycetes; Agaricomycetes; Agaricomycetes; Agaricomycetes; Agaricomycetes; Agaricomycetes; Agaricomycetes; Agaricomycetes;; Agaricomycetes
 Dothideomycetes; Dothideomycetes; Dothideomycetes; Dothideomycetes; Dothideomycetes; Dothideomycetes; Dothideomycetes; Dothideomycetes;; Dothideomycetes
 Eurotiomycetes; Eurotiomycetes; Eurotiomycetes; Eurotiomycetes; Eurotiomycetes; Eurotiomycetes; Eurotiomycetes; Eurotiomycetes;; Eurotiomycetes
 Leotiomycetes; Leotiomycetes; Exobasidiomycetes; Exobasidiomycetes; Exobasidiomycetes; Exobasidiomycetes; Exobasidiomycetes; Leotiomycetes;; Exobasidiomycetes
 Microbotryomycetes; Microbotryomycetes; Leotiomycetes; Leotiomycetes; Leotiomycetes; Leotiomycetes; Lecanoromycetes; Microbotryomycetes;; Leotiomycetes
 Mixiomycetes; Mixiomycetes; Microbotryomycetes; Microbotryomycetes; Microbotryomycetes; Microbotryomycetes; Leotiomycetes; Mixiomycetes;; Microbotryomycetes
 Pucciniomycetes; Pucciniomycetes; Mixiomycetes; mitosporic Ascomycota; Mixiomycetes; Mixiomycetes; Microbotryomycetes; Pneumocystidomycetes;; mitosporic Ascomycota
 Saccharomycetes; Saccharomycetes; Pneumocystidomycetes; Mixiomycetes; Pucciniomycetes; Orbiliomycetes; mitosporic Ascomycota; Pucciniomycetes;; Mixiomycetes
 Sordariomycetes; Sordariomycetes; Pucciniomycetes; Pucciniomycetes; Saccharomycetes; Pneumocystidomycetes; Mixiomycetes; Saccharomycetes;; Pneumocystidomycetes
 Taphrinomycotina; Taphrinomycotina; Saccharomycetes; Saccharomycetes; Sordariomycetes; Pucciniomycetes; Pucciniomycetes; Sordariomycetes;; Pucciniomycetes
 Tremellomycetes; Ustilaginomycetes; Sordariomycetes; Sordariomycetes; Taphrinomycotina; Saccharomycetes; Saccharomycetes; Taphrinomycotina;; Saccharomycetes
Basal;Basal; Taphrinomycotina; Taphrinomycotina; Tremellomycetes; Sordariomycetes; Sordariomycetes; Tremellomycetes;; Schizosaccharomycetes
;; Tremellomycetes; Tremellomycetes; Ustilaginomycetes; Taphrinomycotina; Taphrinomycotina; Ustilaginomycetes;; Sordariomycetes
;; Ustilaginomycetes; Ustilaginomycetes;Basal; Tremellomycetes; Tremellomycetes;Basal;; Taphrinomycotina
;;Basal;Basal;; Ustilaginomycetes; Ustilaginomycetes;Rozella;; Tremellomycetes
;; Microsporidia; Basidiomycota incertae;;Basal;Basal;;; Ustilaginomycetes
;; Basidiomycota incertae;;; Microsporidia;;;;Basal
;;;;; Basidiomycota incertae;;;;Rozella
;;;;;;;;; Basidiomycota incertae
