ID	3.1-4.2_2.76.1	3.1-4.2_2.76.2	3.1-4.2_2.76.3	3.1-4.2_2.05.1	3.1-4.2_2.05.2	3.1-4.2_2.05.3	2.42.1_MERGED	2.42.2_MERGED	2.42.3_MERGED	2.24.4_MERGED	2.24.5_MERGED	2.24.6_MERGED	3.1-4.2_2.14.1	3.1-4.2_2.14.2	3.1-4.2_2.14.3	2.29.4_MERGED	3.2-4.1_2.28.1	3.2-4.1_2.32.1	3.2-4.1_2.30.1	3.2-4.1_2.33.1	3.2-4.1_2.31.1	2.27.4_MERGED	2.27.5_MERGED	2.27.6_MERGED	3.1-4.2_2.03.1	3.1-4.2_2.03.2	3.1-4.2_2.03.3	2.16.1_MERGED	2.16.2_MERGED	2.16.3_MERGED	2.45.1_MERGED	2.45.2_MERGED	2.45.3_MERGED	2.46.1_MERGED	2.46.2_MERGED	2.46.3_MERGED	2.41.1_MERGED	2.41.2_MERGED	2.41.3_MERGED	2.48.4_MERGED	2.48.5_MERGED	2.48.6_MERGED
1	6	1	5	0	5	7	0	0	1	6	5	4	3	5	1	1	0	1	0	0	0	0	0	0	3	1	3	14	23	22	92	86	65	68	49	32	2	5	2	1	2	2
2	0	1	2	0	4	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	7	9	2	2	6	19	4	2	3	1	3	1	0	0	0	1	0
3	0	0	0	0	0	0	0	0	2	2	7	9	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	62	30	10	50	29	2	9	6	0	0	1	0	0	1
4	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	6	10	9	10	10	7	19	12	12	3	4	6	1	1	1	0	0	1
5	164	63	133	0	9	8	0	0	0	27	23	59	0	0	0	0	0	0	0	0	0	11	3	12	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
6	1	1	1	0	2	43	0	0	0	4	5	7	0	0	0	0	0	0	0	0	0	2	4	4	1	1	0	0	2	1	1	2	2	1	5	0	0	1	0	1	0	0
7	9	3	9	0	4	3	2	0	0	1	2	3	1	0	1	0	1	0	0	0	0	0	3	0	3	3	2	18	25	28	171	230	212	89	97	81	4	10	8	2	6	6
8	0	0	1	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	4	2	0	2	10	11	3	1	5	5	1	0	1	1	0	0	1	0	1
9	0	0	0	1	3	5	0	0	0	6	3	3	0	1	0	1	0	0	0	0	0	3	1	3	7	5	8	2	4	5	14	8	8	2	3	3	1	1	1	0	0	3
10	0	0	1	0	62	60	0	0	0	11	3	12	0	3	0	3	0	2	0	0	0	3	1	1	9	5	3	7	16	12	12	8	9	3	0	1	5	12	2	1	7	20
11	57	19	28	0	20	9	1	0	0	31	12	23	4	1	1	0	0	0	0	0	0	13	7	15	0	0	0	1	3	3	6	5	4	1	3	1	0	1	1	0	0	0
12	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	1	0	2	0	0	0	101	107	93	4	19	24
13	1	0	2	0	2	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	5	2	4	8	5	5	7	11	9	1	1	2	0	1	0	0	0	0
14	0	0	0	0	0	0	0	0	0	105	6	80	0	0	1	139	0	0	0	0	0	0	2	0	0	0	2	0	0	0	10	2	1	13	9	3	0	0	0	0	0	0
15	2	1	0	1	117	22	0	0	0	3	11	10	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1	7	5	1	3	1	0	0	0	0	0	0	0
16	71	54	70	0	2	1	0	0	0	4	2	1	1	1	1	0	0	0	0	0	0	6	1	1	1	0	1	1	0	2	4	2	5	1	1	1	0	0	0	0	2	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	41	18	1	0	0
18	0	0	3	0	4	1	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	1	1	2	1	5	1	5	9	2	11	13	5	0	1	0	0	1	2
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	13	9	0	0	0	0	11	0	0	1	3	0	0	1	0	22	0	1	0	0
20	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	3	0	0	0	0	3	7	5	4	42	58
21	2	0	1	1	5	6	0	0	0	5	2	5	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	6	12	9	38	25	26	24	19	12	0	0	0	0	0	0
22	12	8	5	1	61	66	0	2	0	52	29	65	0	1	3	7	2	1	1	0	0	4	2	4	43	48	46	2	3	18	15	30	35	11	8	6	3	0	2	0	2	5
