ID_files	Sort_ID	Original_Samples	TechnRep	Species	Description_ID	Sterilized	Description	tissue.type	age.class.needles	genotype	tree	location	month	year	DeML_Reads_Sum	Trim_Reads_Sum	noITS_Proportion	Reads_Remaining
3.1-4.2_2.76.1	A.Bd.U2.N.0614.1	3.1-4.2_2.76.1	1	Aspen	201_buds_Jun	No	Umea 201 buds 6.14	buds		SwASP 201	NA	Umea	June	2014	68730	57906	0.0135128739113972	57124
3.1-4.2_2.76.2	A.Bd.U2.N.0614.2	3.1-4.2_2.76.2	1	Aspen	201_buds_Jun	No	Umea 201 buds 6.14	buds		SwASP 201	NA	Umea	June	2014	35791	30080	0.0124397521230204	29706
3.1-4.2_2.76.3	A.Bd.U2.N.0614.3	3.1-4.2_2.76.3	1	Aspen	201_buds_Jun	No	Umea 201 buds 6.14	buds		SwASP 201	NA	Umea	June	2014	52532	44675	0.0216392245183674	43708
3.1-4.2_2.05.1	A.Bd.U2.Y.0814.1	3.1-4.2_2.05.1	1	Aspen	201_Umea_buds_Aug_ster	Yes	201 buds 8. 14	buds		SwASP 201	NA	Umea	August	2014	1845	1322	0.150110375275938	1124
3.1-4.2_2.05.2	A.Bd.U2.Y.0814.2	3.1-4.2_2.05.2	1	Aspen	201_Umea_buds_Aug_ster	Yes	201 buds 8. 14	buds		SwASP 201	NA	Umea	August	2014	99234	61270	0.051067155915496	58141
3.1-4.2_2.05.3	A.Bd.U2.Y.0814.3	3.1-4.2_2.05.3	1	Aspen	201_Umea_buds_Aug_ster	Yes	201 buds 8. 14	buds		SwASP 201	NA	Umea	August	2014	105722	65963	0.0475532042803896	62826
2.42.1_MERGED	A.Br.Vn.N.0714.1	3.1-4.2_2.18.1, 3.2-4.1_2.42.1	2	Aspen	Vindeln_bark_Jul	No	Vindeln bark	bark		SwASP	NA	Vindeln	July	2014	13920	12712	0.670256187581415	4192
2.42.2_MERGED	A.Br.Vn.N.0714.2	3.1-4.2_2.18.2, 3.2-4.1_2.42.2	2	Aspen	Vindeln_bark_Jul	No	Vindeln bark	bark		SwASP	NA	Vindeln	July	2014	25406	23485	0.773597267069119	5317
2.42.3_MERGED	A.Br.Vn.N.0714.3	3.1-4.2_2.18.3, 3.2-4.1_2.42.3	2	Aspen	Vindeln_bark_Jul	No	Vindeln bark	bark		SwASP	NA	Vindeln	July	2014	17764	15506	0.722847236963136	4298
2.24.4_MERGED	A.Lv.Vn.N.0714.1	3.1-4.2_2.51.1, 3.2-4.1_2.24.1, 3.2-4.1_2.24.4	3	Aspen	Vindeln_leaves_Jul	No	Vindeln mature leaves	leaves		SwASP	NA	Vindeln	July	2014	74715	63668	0.216919917864476	49857
2.24.5_MERGED	A.Lv.Vn.N.0714.2	3.1-4.2_2.51.2, 3.2-4.1_2.24.5	2	Aspen	Vindeln_leaves_Jul	No	Vindeln mature leaves	leaves		SwASP	NA	Vindeln	July	2014	39423	33630	0.183663766462226	27453
2.24.6_MERGED	A.Lv.Vn.N.0714.3	3.1-4.2_2.51.3, 3.2-4.1_2.24.3, 3.2-4.1_2.24.6	3	Aspen	Vindeln_leaves_Jul	No	Vindeln mature leaves	leaves		SwASP	NA	Vindeln	July	2014	66333	56103	0.184623919644943	45745
3.1-4.2_2.14.1	A.Sk.Vn.N.0714.1	3.1-4.2_2.14.1	1	Aspen	Vindeln_suckers_Jul	No	Vindeln suckers	suckers		SwASP	NA	Vindeln	July	2014	27737	17024	0.0301983705278073	16510
3.1-4.2_2.14.2	A.Sk.Vn.N.0714.2	3.1-4.2_2.14.2	1	Aspen	Vindeln_suckers_Jul	No	Vindeln suckers	suckers		SwASP	NA	Vindeln	July	2014	48907	27597	0.0379769194536034	26549
3.1-4.2_2.14.3	A.Sk.Vn.N.0714.3	3.1-4.2_2.14.3	1	Aspen	Vindeln_suckers_Jul	No	Vindeln suckers	suckers		SwASP	NA	Vindeln	July	2014	29616	18215	0.0354351224596143	17570
2.29.4_MERGED	S.Bd.Hs.B2.N.0614.1	3.2-4.1_2.29.1, 3.2-4.1_2.29.4	2	Spruce	Z4006_Hissjo_buds_Jun	No	Hissjo clone B2	buds		P. abies Z4006	NA	Hissjo	June	2014	11557	9667	0.512856344326439	4709
3.2-4.1_2.28.1	S.Bd.Hs.K.N.0614.1	3.2-4.1_2.28.1	1	Spruce	Z4006_Hissjo_buds_Jun	No	Hissjo clone K	buds		P. abies Z4006	NA	Hissjo	June	2014	14414	13654	0.0632895866552189	12790
3.2-4.1_2.32.1	S.Bd.Hs.S.N.0614.1	3.2-4.1_2.32.1	1	Spruce	Z4006_Hissjo_buds_Jun	No	Hissjo clone S	buds		P. abies Z4006	NA	Hissjo	June	2014	5171	4687	0.333772507685551	3123
3.2-4.1_2.30.1	S.Bd.Hs.V.N.0614.1	3.2-4.1_2.30.1	1	Spruce	Z4006_Hissjo_buds_Jun	No	Hissjo clone V	buds		P. abies Z4006	NA	Hissjo	June	2014	2955	2643	0.292682926829268	1869
3.2-4.1_2.33.1	S.Bd.Hs.Y.N.0614.1	3.2-4.1_2.33.1	1	Spruce	Z4006_Hissjo_buds_Jun	No	Hissjo clone Y	buds		P. abies Z4006	NA	Hissjo	June	2014	1531	1382	0.462193823216187	743
