OTU	SHA1	Superkingdom	Phylum	Class	Order	Family	Genus	Species
1	001d465af560bf43efc6ce490ddcc606f229f394	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
2	008991ee09d6d1bb4821f1c9dc81b14bbc388b7d	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
3	00e6bc3cce2eda16e0e3ec5f9bd467858648771b	Fungi	Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	unidentified	unidentified
4	01137fb6201347b808ad2c47ff299cba283fd986	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	unidentified
5	0119c288ee448c2e47362071371152bb546a85e2	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
6	0142b5f6280d727c78a914ba4e53c4444ef48d9a	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	unidentified
7	015c3a942b874c97ddda2df42138955daee9e4c2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
8	016106cea35d61e9832369cc6b5d8c8871893184	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
9	0177781705329f22c4edff6492737263af9a6fce	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
10	017da69968f15e9e3a3737802993a19c247aeef9	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
11	01db17c7184610dce70e15e55ccfddd59cf17d11	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Buckleyzymaceae	Buckleyzyma	Buckleyzyma_aurantiaca
12	01ff75a028077b3df4d4fb5372a25fb411a4cc4d	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
13	0205547772ac62f14a1d81b412eb4d7e7c0d912d	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	unidentified
14	0227a5c59df9d65b9a3b8b5613895ce401127aab	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	unidentified	unidentified
15	0273212019c6f4f97d0032a2d8f3d79155c4467f	Fungi	Ascomycota	Eurotiomycetes	unidentified	unidentified	unidentified	unidentified
16	027323e6a87b0e238739cb5a291dae1f14a01b35	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
17	02891dbca5c5be85c8945c453bee034774f364eb	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
18	0293f2c2a4f07aca9f120fb0c1749efe1eea8e55	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
19	02c492e3c47a46bb922e1c5e8e8e12308d8d1f3f	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_cinerascens
20	02d0c8e46521c72e89bfaf6c50200d99faad4a7e	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
21	0323402617a434ff55103ffac229bb5be0dfe7f6	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
22	0362ce8310b9e42cbffdcc6c541f1c34d89ba533	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
23	036cf4f2ab020c0b65b1d276dda17ee8d847ff03	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria_graminis
24	0399cebf744cd6b92cbae9a090f4d64dd647935a	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
25	03d4e6a6dd48232f58af606158e6d32ef29c44fd	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	unidentified
26	03e000d07913cf8a341c460cef14442f8182db40	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
27	03e2bd5b24413032aded63513b9865a7447c89b6	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
28	03f6d9ffe0e923380fd53348a3cee9518468a4d3	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
29	03fdc0772c6dbbdae01e731263528de3b0b02c23	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Drechmeria	Drechmeria_coniospora
30	047d77c8c13cd34c249e46c7ca242714a3caa076	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
31	0481ac730d0210c3cceedc8d0e74fb5d1214f477	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
32	048a47ea29eb8ccbd64862e73fb0ee3f3258788b	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
33	04c130015fc1e37426f8b6a0e26c9fc7b90f0e73	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
34	04e89d913197fe57f558cd4f1f9a15c7c6acea40	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	unidentified	unidentified	unidentified
35	0523f7f1e0d11d19f1f951ec2695fd562fb568ed	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
36	053deb344e78ab1abec6a8faffc042c5b667ef5a	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
37	055e19e2f058115056908ef41542d84cc138926d	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
38	05b128af4e89e03c0f89a61775715a9bbba57f12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
39	05c9337495247468026de20d380192c3af701cff	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
40	05f0530485684c9725609435882d6689e3bbb1ce	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
41	06077c758cac38567ef6f98a916c0b371cdf710a	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_petersenii
42	061d12e27d5038d4b6b8fe350464417baed06a65	Fungi	Ascomycota	Sordariomycetes	unidentified	unidentified	unidentified	unidentified
43	0633c4842b2fa2b10d44ab469fc2b0d683d1db9d	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
44	06425062653b39fc344d84073df1ed3db51b559e	Fungi	Ascomycota	Eurotiomycetes	unidentified	unidentified	unidentified	unidentified
45	06717cdf66fa33994ef8b5494756bd6925d2b756	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Recurvomyces	unidentified
46	069ce9be2ed32bd71dcbe2a85e234f1686d80de1	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
47	06e8aa09181fcf4e801e3614bbb984d631552fd9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
48	070feb597b5242c2daf450a69d5769b79d6bd871	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
49	073a3ed7d60b94c4653ce1d5e7995c80ac0426f0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
50	074973d242d37339958747ad430c7eaee12b411c	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
51	077b13ab81bca183102666ec0a21bf75a98df885	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
52	077b6f515f63cf507ccf1c03f11a04913669c46c	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
53	07860b4d0544c51583cf5b74026f067364cc0961	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma_populi
54	07d12c3f2d77b1a228033841bcca9fe44359731a	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
55	08277f275c2725219e6bb8080c65598c9054d283	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
56	0830b789cd193fddaab6c43a5608059fd22a9c26	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
57	088e1cf563331c57785eedd3d09dde48f3e29cee	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unidentified	unidentified
58	089899e6356be36f0b93e235b92452c9b0a11482	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	unidentified
59	08bf0109d07859bdf38253a877c541f0380b8418	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Neofabraea	unidentified
60	0920edfd90d772965af50026ad2eb88fa9d4fd87	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
61	0930a8378347678e581313e4445843fb8f42fb42	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Recurvomyces	unidentified
62	0970d62429ecddc349e15f2c54ece855af48e905	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_fam_Incertae_sedis	Rhodotorula	Rhodotorula_mucilaginosa
