	B-T89-1	B-T89-2	B-T89-3	681-6	681-7	681-8	681-15
Potri.001G000100.0	0	0	0	0	0	0	0
Potri.001G000200.0	0	0	0	0	0	0	0
Potri.001G000300.0	0	0	0	0	0	0	0
Potri.001G000400.0	876	742	757	828	694	729	653
Potri.001G000500.0	0	0	0	0	0	0	0
Potri.001G000600.0	0	0	0	0	0	0	0
Potri.001G000700.0	2292	2394	2208	2278	2000	2216	1967
Potri.001G000800.0	1617	1493	1623	1664	1819	1867	1751
Potri.001G000900.0	8346	7926	7588	8298	7999	8548	7361
Potri.001G001000.0	1	0	0	0	0	0	0
Potri.001G001100.0	0	0	0	0	0	1	0
Potri.001G001200.0	0	0	0	0	2	0	0
Potri.001G001300.0	650	589	674	641	617	602	656
Potri.001G001400.0	401	411	388	386	394	363	363
Potri.001G001500.0	1242	1221	1175	1363	1203	1243	1197
Potri.001G001600.0	3894	3358	3446	3803	3170	3861	2893
Potri.001G001700.0	2041	1879	1904	1867	1815	1853	1741
Potri.001G001800.0	45	45	49	56	56	46	60
Potri.001G001900.0	0	0	0	0	0	0	0
Potri.001G002000.0	3143	2880	3040	3387	4009	3488	3942
Potri.001G002100.0	6	1	2	2	1	3	0
Potri.001G002200.0	100	65	117	105	153	130	116
Potri.001G002300.0	986	652	869	677	791	734	667
Potri.001G002400.0	0	0	0	0	0	0	0
Potri.001G002500.0	1759	1239	1540	1680	1521	1583	1342
Potri.001G002600.0	611	534	532	662	534	639	598
Potri.001G002700.0	0	0	0	0	0	0	0
Potri.001G002800.0	18	19	13	9	12	18	16
Potri.001G002900.0	0	0	0	0	0	0	0
Potri.001G003000.0	74	45	67	70	97	86	77
Potri.001G003100.0	224	188	217	222	215	274	216
Potri.001G003200.0	21	5	1	2	0	5	7
Potri.001G003300.0	172	149	160	245	235	193	195
Potri.001G003400.0	126	95	87	120	91	93	93
Potri.001G003500.0	188	207	196	176	214	188	169
Potri.001G003600.0	6	4	8	7	12	6	11
Potri.001G003700.0	61	57	61	77	80	65	84
Potri.001G003800.0	2303	1576	2121	2110	2311	2127	1798
Potri.001G003900.0	1102	1048	1143	1204	1415	1298	1227
Potri.001G004000.0	988	684	933	773	817	815	666
Potri.001G004100.0	31080	27087	24906	25554	21539	22620	18680
Potri.001G004200.0	808	693	702	700	746	704	713
Potri.001G004300.0	301	236	246	296	302	319	232
Potri.001G004400.0	0	0	4	0	2	0	2
Potri.001G004500.0	4664	4382	4330	4911	4132	4539	3938
Potri.001G004600.0	7712	7938	7545	9220	8040	8187	7911
Potri.001G004700.0	19	13	16	20	22	16	22
Potri.001G004800.0	2603	2030	2171	2327	2241	2259	1928
Potri.001G004900.0	0	0	0	0	0	0	0
Potri.001G005000.0	71	58	71	88	89	78	60
Potri.001G005100.0	0	2	2	3	0	4	2
Potri.001G005200.0	0	0	3	3	0	0	0
Potri.001G005300.0	63	35	57	37	51	72	43
Potri.001G005400.0	4	3	3	7	13	15	20
Potri.001G005500.0	8717	9331	8017	8048	7596	8433	7477
Potri.001G005600.0	27	3	15	21	8	41	24
Potri.001G005700.0	46	34	53	64	60	48	38
Potri.001G005800.0	0	0	0	0	0	0	0
Potri.001G005900.0	59	50	53	44	51	51	38
Potri.001G006000.0	4	4	2	1	5	4	1
Potri.001G006100.0	11	13	28	23	30	19	31
Potri.001G006200.0	19	19	16	26	17	21	24
Potri.001G006300.0	409	337	357	371	366	360	364
Potri.001G006400.0	690	627	664	677	624	589	641
Potri.001G006500.0	21	20	28	42	35	48	29
Potri.001G006600.0	0	0	0	0	0	0	1
Potri.001G006700.0	2132	2077	1536	2175	1880	2453	1698
Potri.001G006800.0	0	0	0	0	0	0	0
Potri.001G006900.0	0	0	0	0	0	0	0
Potri.001G007000.0	43	24	46	39	39	37	45
Potri.001G007100.0	3	0	1	0	0	2	0
Potri.001G007200.0	27	32	26	18	23	22	28
Potri.001G007300.0	42	45	41	47	28	33	35
Potri.001G007400.0	2	4	7	3	3	2	2
Potri.001G007500.0	3	0	2	2	3	1	3
Potri.001G007600.0	0	0	0	0	1	0	0
Potri.001G007700.0	0	0	0	0	0	0	0
Potri.001G007800.0	4592	4497	4257	4520	4078	4455	4049
Potri.001G007900.0	2709	2565	2563	2826	2583	2721	2326
Potri.001G008000.0	253	268	280	337	306	296	305
Potri.001G008100.0	0	0	0	0	0	0	0
Potri.001G008200.0	5	8	3	8	9	4	6
Potri.001G008300.0	815	891	765	840	816	833	789
Potri.001G008400.0	2084	2624	2176	1930	2158	1988	2343
Potri.001G008500.0	1625	1177	1507	729	706	827	549
Potri.001G008600.0	26	27	27	18	20	21	18
Potri.001G008700.0	371	304	372	439	451	396	424
Potri.001G008800.0	1213	1057	1142	1169	1239	1144	1044
Potri.001G008900.0	2	3	12	3	3	9	10
Potri.001G009000.0	0	0	0	0	0	0	0
Potri.001G009100.0	6158	7227	5578	5568	5430	6083	5305
Potri.001G009200.0	0	1	1	0	0	1	1
Potri.001G009300.0	0	0	0	0	0	0	0
Potri.001G009400.0	1	0	0	0	0	0	0
Potri.001G009500.0	209	159	180	252	238	222	210
Potri.001G009600.0	108	106	142	197	164	186	128
Potri.001G009700.0	3747	3177	3567	3372	3195	3242	2899
Potri.001G009800.0	23	21	41	19	24	21	16
Potri.001G009900.0	0	0	0	0	0	0	0
Potri.001G010000.0	4	7	8	17	14	4	8
Potri.001G010100.0	18	38	22	26	22	29	30
Potri.001G010200.0	38	33	42	50	32	46	48
Potri.001G010300.0	6	1	1	3	8	9	8
Potri.001G010400.0	78	50	55	61	68	72	47
Potri.001G010500.0	534	491	529	463	600	463	510
Potri.001G010600.0	14	6	2	13	11	11	4
Potri.001G010700.0	36	40	45	56	113	64	75
Potri.001G010800.0	421	325	414	539	504	475	484
Potri.001G010900.0	0	0	0	0	0	0	0
Potri.001G011000.0	0	4	3	6	0	339	0
Potri.001G011100.0	0	0	0	0	0	0	0
Potri.001G011200.0	0	1	0	1	0	55	0
Potri.001G011300.0	0	5	2	1	0	104	0
Potri.001G011400.0	0	0	0	0	0	0	0
Potri.001G011500.0	7	1	0	0	0	0	0
Potri.001G011600.0	0	0	0	0	0	0	0
Potri.001G011700.0	40	50	49	46	64	63	61
Potri.001G011800.0	636	562	618	546	479	455	503
Potri.001G011900.0	4697	4068	4066	4425	4303	4445	4011
Potri.001G012000.0	126	122	141	158	137	149	157
Potri.001G012100.0	0	0	0	0	0	0	0
Potri.001G012200.0	2272	1831	2356	2246	3069	2734	2451
Potri.001G012300.0	140	142	172	245	229	195	150
Potri.001G012400.0	0	0	1	1	1	3	1
Potri.001G012500.0	67	61	79	85	84	72	100
Potri.001G012600.0	3	0	0	1	2	2	1
Potri.001G012700.0	0	0	0	0	0	0	0
Potri.001G012800.0	347	193	284	310	296	298	209
Potri.001G012900.0	0	0	0	0	0	0	0
Potri.001G013000.0	0	0	0	0	0	15	0
Potri.001G013100.0	0	0	0	0	0	0	0
