	T89-1	T89-2	250-5	250-8	250-13
Potri.001G000100.0	0	0	0	0	0
Potri.001G000200.0	0	0	0	0	0
Potri.001G000300.0	51	59	28	20	46
Potri.001G000400.0	94	112	38	54	83
Potri.001G000500.0	0	0	0	0	0
Potri.001G000600.0	0	0	0	0	0
Potri.001G000700.0	314	432	223	163	335
Potri.001G000800.0	141	277	70	42	117
Potri.001G000900.0	1179	1655	828	597	1220
Potri.001G001000.0	0	0	0	0	0
Potri.001G001100.0	0	0	0	0	0
Potri.001G001200.0	3	14	4	3	3
Potri.001G001300.0	100	113	78	54	108
Potri.001G001400.0	38	70	51	17	58
Potri.001G001500.0	123	212	100	66	155
Potri.001G001600.0	463	660	342	216	503
Potri.001G001700.0	162	217	143	88	183
Potri.001G001800.0	6	2	3	3	5
Potri.001G001900.0	0	0	0	0	0
Potri.001G002000.0	476	517	439	252	845
Potri.001G002100.0	3	3	4	0	1
Potri.001G002200.0	21	47	4	4	4
Potri.001G002300.0	132	141	81	57	145
Potri.001G002400.0	0	0	0	0	0
Potri.001G002500.0	228	148	134	79	197
Potri.001G002600.0	99	102	59	42	115
Potri.001G002700.0	0	0	0	0	0
Potri.001G002800.0	2	0	1	0	2
Potri.001G002900.0	3	8	2	3	2
Potri.001G003000.0	7	8	6	2	11
Potri.001G003100.0	25	44	34	22	75
Potri.001G003200.0	1	3	1	0	0
Potri.001G003300.0	5	20	11	8	12
Potri.001G003400.0	27	36	11	13	18
Potri.001G003500.0	30	28	17	14	31
Potri.001G003600.0	1	0	2	0	1
Potri.001G003700.0	12	15	9	4	14
Potri.001G003800.0	222	280	166	99	193
Potri.001G003900.0	128	188	168	68	213
Potri.001G004000.0	82	109	69	37	132
Potri.001G004100.0	4309	6550	3547	2490	6195
Potri.001G004200.0	104	153	109	47	153
Potri.001G004300.0	28	35	20	18	42
Potri.001G004400.0	0	0	0	0	0
Potri.001G004500.0	503	717	346	286	520
Potri.001G004600.0	1011	1293	798	500	896
Potri.001G004700.0	7	2	2	0	1
Potri.001G004800.0	235	324	204	95	235
Potri.001G004900.0	0	0	0	0	0
Potri.001G005000.0	9	13	5	10	18
Potri.001G005100.0	0	1	0	0	3
Potri.001G005200.0	0	0	0	0	0
Potri.001G005300.0	5	8	8	1	14
Potri.001G005400.0	1	7	0	0	2
Potri.001G005500.0	1521	1869	814	664	1330
Potri.001G005600.0	1	1	0	0	0
Potri.001G005700.0	5	11	0	0	3
Potri.001G005800.0	0	0	0	0	0
Potri.001G005900.0	5	17	11	8	16
Potri.001G006000.0	0	0	0	1	1
Potri.001G006100.0	3	3	0	1	2
Potri.001G006200.0	2	2	1	1	1
Potri.001G006300.0	59	83	44	25	69
Potri.001G006400.0	125	125	87	44	98
Potri.001G006500.0	6	5	2	0	7
Potri.001G006600.0	0	0	1	0	0
Potri.001G006700.0	305	366	190	98	242
Potri.001G006800.0	0	0	0	0	0
Potri.001G006900.0	0	0	0	0	0
Potri.001G007000.0	15	11	8	8	13
Potri.001G007100.0	0	0	0	0	0
Potri.001G007200.0	4	8	5	1	8
Potri.001G007300.0	10	12	6	6	10
Potri.001G007400.0	6	3	1	0	3
Potri.001G007500.0	0	0	0	0	0
Potri.001G007600.0	0	0	0	0	0
Potri.001G007700.0	0	1	0	0	0
Potri.001G007800.0	466	610	348	254	506
Potri.001G007900.0	378	467	346	183	473
Potri.001G008000.0	31	44	19	16	37
Potri.001G008100.0	0	0	0	0	0
Potri.001G008200.0	2	2	0	1	0
Potri.001G008300.0	211	223	107	69	171
Potri.001G008400.0	513	770	328	220	499
Potri.001G008500.0	63	212	43	23	66
Potri.001G008600.0	7	6	2	3	5
Potri.001G008700.0	47	71	58	32	99
Potri.001G008800.0	200	236	163	102	237
Potri.001G008900.0	0	2	0	0	0
Potri.001G009000.0	0	0	0	0	0
Potri.001G009100.0	745	937	369	230	400
Potri.001G009200.0	0	0	0	0	0
Potri.001G009300.0	0	0	0	0	0
Potri.001G009400.0	0	0	0	0	0
Potri.001G009500.0	53	42	25	22	51
Potri.001G009600.0	15	19	23	13	15
Potri.001G009700.0	485	651	438	291	680
Potri.001G009800.0	2	4	3	2	18
Potri.001G009900.0	0	0	0	0	0
Potri.001G010000.0	1	0	3	0	3
Potri.001G010100.0	3	2	4	1	3
Potri.001G010200.0	1	6	0	3	5
Potri.001G010300.0	0	0	1	0	0
Potri.001G010400.0	11	11	6	3	18
Potri.001G010500.0	79	74	64	39	97
Potri.001G010600.0	3	9	5	3	4
Potri.001G010700.0	8	13	7	5	6
Potri.001G010800.0	64	72	56	24	83
Potri.001G010900.0	0	0	0	0	0
Potri.001G011000.0	0	1	0	0	0
Potri.001G011100.0	0	0	0	0	0
Potri.001G011200.0	0	0	0	0	0
Potri.001G011300.0	0	0	0	0	0
Potri.001G011400.0	0	0	0	0	0
Potri.001G011500.0	0	0	0	0	0
Potri.001G011600.0	0	0	0	0	0
Potri.001G011700.0	5	6	8	7	16
Potri.001G011800.0	66	98	48	43	91
Potri.001G011900.0	455	763	464	256	712
Potri.001G012000.0	22	37	28	12	40
Potri.001G012100.0	0	0	0	0	0
Potri.001G012200.0	208	351	191	136	222
Potri.001G012300.0	20	28	11	8	14
Potri.001G012400.0	0	1	0	0	0
Potri.001G012500.0	51	63	19	22	35
Potri.001G012600.0	0	0	0	0	0
Potri.001G012700.0	0	0	0	0	0
Potri.001G012800.0	36	33	23	10	41
Potri.001G012900.0	0	0	0	0	0
Potri.001G013000.0	0	0	0	0	0
Potri.001G013100.0	0	0	0	0	0
Potri.001G013200.0	65	99	67	52	85
Potri.001G013300.0	59	92	48	32	72
Potri.001G013400.0	5	30	78	35	133
Potri.001G013500.0	147	146	68	47	96
Potri.001G013600.0	23	22	34	24	44
Potri.001G013700.0	66	87	57	24	78
Potri.001G013800.0	69	102	75	33	97
Potri.001G013900.0	232	305	212	114	239
Potri.001G014000.0	20	16	10	5	13
Potri.001G014100.0	0	0	1	0	0
Potri.001G014200.0	0	0	1	0	1
Potri.001G014300.0	0	0	0	0	0
Potri.001G014400.0	0	0	0	0	0
Potri.001G014500.0	0	0	0	0	0
Potri.001G014600.0	0	0	0	0	0
Potri.001G014700.0	0	0	0	0	0
Potri.001G014800.0	0	0	0	0	0
Potri.001G014900.0	5	7	7	4	4
Potri.001G015000.0	79	98	49	47	92
Potri.001G015100.0	0	0	0	0	0
Potri.001G015200.0	0	0	0	0	0
Potri.001G015300.0	0	0	0	0	0
Potri.001G015400.0	0	0	0	0	0
Potri.001G015500.0	1	0	5	0	8
Potri.001G015600.0	0	2	1	1	2
Potri.001G015700.0	29	36	30	20	25
Potri.001G015800.0	0	0	0	0	0
Potri.001G015900.0	65	91	52	31	71
Potri.001G016000.0	4	15	8	5	7
Potri.001G016100.0	0	0	0	0	0
Potri.001G016200.0	47	22	46	51	74
Potri.001G016300.0	3	5	5	5	6
Potri.001G016400.0	0	0	0	0	0
Potri.001G016500.0	0	0	0	0	0
Potri.001G016600.0	29	27	19	9	35
Potri.001G016700.0	44	29	10	16	24
Potri.001G016800.0	20	9	15	6	13
Potri.001G016900.0	32	33	11	8	15
Potri.001G017000.0	34	47	22	10	27
Potri.001G017100.0	4	5	2	0	2
Potri.001G017200.0	3	8	1	0	2
Potri.001G017300.0	79	157	98	75	163
Potri.001G017400.0	0	0	0	0	0
Potri.001G017500.0	7	2	4	4	9
Potri.001G017600.0	2	2	4	0	1
Potri.001G017700.0	1	8	0	2	15
Potri.001G017800.0	0	0	0	0	0
Potri.001G017900.0	0	0	0	0	1
Potri.001G018000.0	0	0	0	0	0
Potri.001G018100.0	19	15	5	9	12
Potri.001G018200.0	2888	3658	3185	1796	5149
Potri.001G018300.0	51	45	20	18	46
Potri.001G018400.0	0	0	0	0	0
Potri.001G018500.0	99	152	65	51	105
Potri.001G018600.0	349	436	245	234	469
Potri.001G018700.0	39	76	41	17	43
Potri.001G018800.0	34	44	28	14	51
Potri.001G018900.0	0	2	0	0	2
Potri.001G019000.0	46	56	34	34	59
Potri.001G019100.0	80	144	59	32	94
Potri.001G019200.0	14	38	13	14	38
Potri.001G019300.0	0	0	0	0	0
Potri.001G019400.0	263	284	122	94	170
Potri.001G019500.0	4	0	6	1	5
Potri.001G019600.0	20	28	5	13	19
Potri.001G019700.0	4	7	5	1	5
Potri.001G019800.0	0	0	0	0	0
Potri.001G019900.0	0	0	0	0	0
Potri.001G020000.0	0	0	0	0	0
Potri.001G020100.0	0	0	0	0	0
Potri.001G020200.0	2	4	2	0	3
Potri.001G020300.0	685	1068	687	418	1096
Potri.001G020400.0	0	0	0	0	0
Potri.001G020500.0	2	0	1	2	1
Potri.001G020600.0	109	205	82	65	196
Potri.001G020700.0	20	24	13	15	24
Potri.001G020800.0	71	66	56	32	77
Potri.001G020900.0	28	23	16	4	31
Potri.001G021000.0	3	17	2	2	3
Potri.001G021100.0	23	22	19	16	17
Potri.001G021200.0	0	0	0	0	0
Potri.001G021300.0	0	1	0	0	0
Potri.001G021400.0	0	0	0	0	0
Potri.001G021500.0	12	32	11	11	26
Potri.001G021600.0	23	16	14	10	21
Potri.001G021700.0	0	0	0	0	0
Potri.001G021800.0	0	0	0	0	0
Potri.001G021900.0	0	0	0	0	0
Potri.001G022000.0	0	0	0	0	0
Potri.001G022100.0	0	0	0	0	0
Potri.001G022200.0	0	0	0	0	0
Potri.001G022300.0	1	0	0	0	0
Potri.001G022400.0	17	24	7	6	15
Potri.001G022500.0	30	44	27	15	43
Potri.001G022600.0	0	1	0	2	1
Potri.001G022700.0	742	1141	569	364	767
Potri.001G022800.0	0	0	0	0	0
Potri.001G022900.0	2	2	0	1	1
Potri.001G023000.0	53	51	37	28	40
Potri.001G023100.0	223	198	138	85	229
Potri.001G023200.0	0	0	0	0	0
Potri.001G023300.0	0	0	0	0	0
Potri.001G023400.0	0	0	1	0	0
Potri.001G023500.0	7	10	1	1	7
Potri.001G023600.0	2	1	2	1	4
Potri.001G023700.0	0	0	0	0	0
Potri.001G023800.0	107	143	11	3	9
Potri.001G023900.0	10	8	2	1	4
Potri.001G024000.0	6	3	2	2	9
Potri.001G024100.0	488	712	268	161	321
Potri.001G024200.0	34	38	20	15	33
Potri.001G024300.0	42	70	27	26	42
Potri.001G024400.0	0	0	0	0	0
Potri.001G024500.0	20	17	15	12	23
Potri.001G024600.0	0	0	0	0	0
Potri.001G024700.0	0	0	0	0	0
Potri.001G024800.0	0	0	0	0	0
Potri.001G024900.0	0	0	0	0	0
Potri.001G025000.0	0	0	0	0	0
Potri.001G025100.0	224	811	351	205	483
Potri.001G025200.0	0	2	0	0	0
Potri.001G025300.0	44	51	25	15	41
Potri.001G025400.0	24	38	36	33	45
Potri.001G025500.0	0	1	0	2	1
Potri.001G025600.0	39	45	29	26	43
Potri.001G025700.0	1	0	0	0	0
Potri.001G025800.0	0	0	0	0	0
Potri.001G025900.0	0	2	1	0	1
Potri.001G026000.0	38	46	41	32	68
Potri.001G026100.0	137	141	97	63	137
Potri.001G026200.0	3	2	1	0	8
