	foldChange	log2FoldChange	foldChange	log2FoldChange		
Potri.001G013400	6.809160708	2.767476984	0.38011546	-1.39549039	Major facilitator superfamily protein	AT5G19640
Potri.001G088800	3.878430219	1.955472845	0.582357942	-0.780021928	DCD (Development and Cell Death) domain protein	AT5G42050
Potri.001G090700	0.573246006	-0.802773696	0.637726431	-0.64899042	UDP-D-glucose/UDP-D-galactose 4-epimerase 2	AT4G23920
Potri.001G093800	2.170699422	1.118159969	0.687652828	-0.540247713	TRICHOME BIREFRINGENCE-LIKE 23	AT4G11090
Potri.001G111700	2.261743544	1.177435353	0.549381079	-0.864120872	hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase	AT4G11820
Potri.001G140200	2.41470811	1.271848806	0.550598965	-0.860926197	SNARE associated Golgi protein family	AT4G17790
Potri.001G183600	4.890230613	2.289902501	0.352030472	-1.506227779	unknown	AT1G45688
Potri.001G206800	0.488582728	-1.033325232	0.595595947	-0.747594159	beta-D-xylosidase 4	AT5G64570
Potri.001G263900	3.048402378	1.608053346	0.489535038	-1.030515972	Protein of unknown function, DUF642	AT3G08030
Potri.001G265400	2.253582018	1.172219957	0.454515441	-1.137598789	carotenoid cleavage dioxygenase 1	AT3G63520
Potri.001G330500	4.60225036	2.202339468	0.419405762	-1.253581413	cytochrome P450, family 87, subfamily A, polypeptide 6	AT1G64940
Potri.001G375500	2.236932374	1.161521642	0.529113356	-0.918351259	sodium/calcium exchanger family protein / calcium-binding EF hand family protein	AT1G53210
Potri.001G451900	15.93800806	3.994399427	0.22233283	-2.1692071	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	AT4G10490
Potri.001G452000	4.942428355	2.305220053	0.237822671	-2.072041844	F-box family protein	AT2G36090
Potri.001G460400	1.81256118	0.858029692	0.603549667	-0.728455597	Protein of unknown function (DUF640)	AT1G07090
Potri.002G054500	4.262171156	2.091588529	0.414179924	-1.271670468	F-box family protein	AT2G27310
Potri.002G139800	5.61157987	2.488407001	0.476509619	-1.069422758	Nucleotide-diphospho-sugar transferase family protein	AT1G28710
Potri.002G201600	3.213063415	1.683949455	0.292346999	-1.774246313	Integrase-type DNA-binding superfamily protein	AT2G47520
Potri.002G238800	11.8144237	3.562477352	0.430842463	-1.214767649	Pectin lyase-like superfamily protein	AT4G13710
Potri.003G085600	2.804185574	1.487581827	0.642393806	-0.638470113	unknown	AT4G17100
Potri.003G192200	4.889865143	2.289794678	0.462140772	-0.638470113	cystatin B	AT3G12490
Potri.004G005900	2.284217975	1.191700329	0.272542751	-1.875445544	ERD (early-responsive to dehydration stress) family protein	AT4G22120
Potri.004G015500	1.862561708	0.897288224	0.636830498	-0.651018666	calcium-dependent protein kinase 21	AT4G04720
Potri.004G047600	2.46000651	1.298662133	0.511449577	-0.96733608	erf domain protein 9	AT5G44210
Potri.004G059200	6.131466656	2.61623221	0.579690164	-0.786646088	RING/FYVE/PHD zinc finger superfamily protein	AT5G05830
Potri.004G208600	4.459153242	2.15676978	0.331201157	-1.594220383	AT-hook protein of GA feedback 1	AT4G35390
Potri.004G211100	2.268817433	1.181940523	0.62005119	-0.689540768	Protein of unknown function, DUF584	AT5G60680
Potri.004G218500	4.06728827	2.024067246	0.336078453	-1.573130045	Seven transmembrane MLO family protein	AT1G11000
Potri.005G001100	2.640339722	1.400723567	0.642380014	-0.638501087	unknown	AT5G26720
Potri.005G002100	7.172778817	2.842532144	0.465376323	-1.103530283	Low temperature and salt responsive protein family	AT3G05880
Potri.005G069500	0.285014552	-1.810892516	0.600827913	-0.734976255	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	AT1G01720
Potri.005G140300	1.736159153	0.795899205	0.619709291	-0.690336496	Plant protein of unknown function (DUF869)	AT2G23360
Potri.005G166300	2.883439116	1.52779056	0.384355337	-1.379487392	tetratricopeptide repeat (TPR)-containing protein	AT5G65160
Potri.005G205800	0.378053362	-1.40333821	0.437362279	-1.193099296	PHYTOENE SYNTHASE	AT5G17230
Potri.005G237100	1.647093193	0.719922186	0.582766356	-0.779010504	Plant protein of unknown function (DUF869)	AT1G19835
Potri.006G084700	4.861653687	2.281447129	0.446425514	-1.163508613	unknown	AT5G02420
Potri.006G113100	22.64205737	4.500933149	0.109712114	-3.188205266	type one serine/threonine protein phosphatase 4	AT2G39840
Potri.006G128200	0.600393069	-0.736020771	0.675057353	-0.566918015	"plasma membrane intrinsic protein 2;4"	AT5G60660
Potri.006G201000	3.880875387	1.95638211	0.470857293	-1.08663822	unknown	AT5G06440
Potri.007G039500	2.169473953	1.117345265	0.63686633	-0.650937494	ASYMMETRIC LEAVES 2-like 1	AT5G66870
